policy,method,selected_configuration,selection_rule,validation_rows,validation_prevalence,validation_roc_auc,validation_pr_auc,test_rows,test_prevalence,test_roc_auc,test_roc_auc_ci_low,test_roc_auc_ci_high,test_pr_auc,test_pr_auc_ci_low,test_pr_auc_ci_high,test_q995_precision,test_q995_recall,test_q995_specificity,test_q995_f1,test_q995_mcc,selected_threshold,threshold_selection_status,validation_selected_threshold_f1,test_selected_threshold_precision,test_selected_threshold_recall,test_selected_threshold_specificity,test_selected_threshold_f1,test_selected_threshold_mcc,test_selected_threshold_tn,test_selected_threshold_fp,test_selected_threshold_fn,test_selected_threshold_tp,test_pairwise_superiority,test_event_superiority
strict,AE,b_sem_taxas_absolutas,maior PR-AUC na validação pré-Pectra,1034,0.6624758220502901,0.6399347457804363,0.744100151623541,1421,0.6608022519352569,0.7350363899089257,0.706062664881418,0.7644246108025222,0.8039472193830584,0.7783155042298039,0.8305343078184335,0.0,0.0,1.0,0.0,0.0,q990,no_positive_predictions_in_validation,0.0,0.0,0.0,1.0,0.0,0.0,482,0,939,0,0.8232161874334398,0.7759336099585062
strict,IF,c_completa,maior PR-AUC na validação pré-Pectra,1034,0.6624758220502901,0.7949637127977747,0.8798696812261573,1421,0.6608022519352569,0.7509600130800401,0.7263764974657422,0.7764174830644412,0.8365966850570291,0.8151995486115308,0.8632094519323537,0.7777777777777778,0.022364217252396165,0.9875518672199171,0.043478260869565216,0.034386127094163846,q990,selected_by_validation_f1,0.08611111111111112,0.8709677419354839,0.05750798722044728,0.983402489626556,0.1078921078921079,0.09481679773915566,474,8,885,54,0.7657082002129926,0.5705394190871369
sensitivity,AE,b_sem_taxas_absolutas,maior PR-AUC na validação pré-Pectra,1280,0.63125,0.5963825725792918,0.6911089066198435,1741,0.6312464101091326,0.6789874113821968,0.6551114153620256,0.7071781837921192,0.7427136443560938,0.719472748416128,0.7669539088252326,0.0,0.0,1.0,0.0,0.0,q990,no_positive_predictions_in_validation,0.0,0.0,0.0,1.0,0.0,0.0,642,0,1099,0,0.7622005323868678,0.6865671641791045
sensitivity,IF,c_completa,maior PR-AUC na validação pré-Pectra,1280,0.63125,0.7434592108575264,0.8346493905261994,1741,0.6312464101091326,0.7176631828992088,0.6922847235804852,0.7398306021616933,0.8036277328306802,0.7839217164690249,0.8277533162490511,0.7777777777777778,0.01910828025477707,0.9906542056074766,0.037300177619893425,0.03811882343200237,q990,selected_by_validation_f1,0.07354685646500593,0.873015873015873,0.05004549590536852,0.9875389408099688,0.09466437177280551,0.09709752345757178,634,8,1044,55,0.7160603371783496,0.5417910447761194
