split,policy,attack_scope,configuration,method,model,events,attacker_victim_pairs,attacker_score_higher,equal_scores,pairwise_superiority_rate,events_all_attackers_above_victim,event_superiority_rate,median_score_margin,mean_score_margin
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,145,269,168,0,0.6245353159851301,81,0.5586206896551724,0.008876629173755646,0.0069502942873421215
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,124,248,167,0,0.6733870967741935,80,0.6451612903225806,0.01183437742292881,0.011935659744326145
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,21,21,1,0,0.047619047619047616,1,0.047619047619047616,-0.05578363686800003,-0.05192449777608826
estresse_pre_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,587,711,360,0,0.5063291139240507,273,0.46507666098807493,3.0025839805603027e-05,0.002947706954472511
estresse_pre_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,124,248,167,0,0.6733870967741935,80,0.6451612903225806,0.01183437742292881,0.011935659744326145
estresse_pre_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,463,463,193,0,0.4168466522678186,193,0.4168466522678186,-0.00043986737728118896,-0.0018665744534836475
estresse_pre_dencun_2024,strict,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,145,269,226,0,0.8401486988847584,112,0.7724137931034483,0.026459604501724243,0.02161878458186153
estresse_pre_dencun_2024,strict,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,124,248,226,0,0.9112903225806451,112,0.9032258064516129,0.027609750628471375,0.030247836704215696
estresse_pre_dencun_2024,strict,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,21,21,0,0,0.0,0,0.0,-0.07582569122314453,-0.08028621191070193
estresse_pre_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,587,711,396,3,0.5569620253164557,282,0.4804088586030664,0.0006328821182250977,0.007492446111392036
estresse_pre_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,124,248,226,0,0.9112903225806451,112,0.9032258064516129,0.027609750628471375,0.030247836704215696
estresse_pre_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,463,463,170,3,0.367170626349892,170,0.367170626349892,-0.0009986460208892822,-0.0046961864307683695
estresse_pre_dencun_2024,strict,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,145,269,137,0,0.5092936802973977,64,0.4413793103448276,0.002206675708293915,-0.005137320552505968
estresse_pre_dencun_2024,strict,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,124,248,137,0,0.5524193548387096,64,0.5161290322580645,0.006501816213130951,-0.0007602133667997775
estresse_pre_dencun_2024,strict,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,21,21,0,0,0.0,0,0.0,-0.05008884519338608,-0.05682887207894098
estresse_pre_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,587,711,322,0,0.45288326300984527,249,0.424190800681431,-0.00042037665843963623,-0.0018129622676369174
estresse_pre_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,124,248,137,0,0.5524193548387096,64,0.5161290322580645,0.006501816213130951,-0.0007602133667997775
estresse_pre_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,463,463,185,0,0.39956803455723544,185,0.39956803455723544,-0.000659555196762085,-0.0023768536875237657
estresse_pre_dencun_2024,strict,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,145,269,220,0,0.8178438661710037,107,0.7379310344827587,0.02798554301261902,0.022206843896426232
estresse_pre_dencun_2024,strict,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,124,248,220,0,0.8870967741935484,107,0.8629032258064516,0.02984464168548584,0.02966195080549486
estresse_pre_dencun_2024,strict,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,21,21,0,0,0.0,0,0.0,-0.0633358359336853,-0.0658344186487652
estresse_pre_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,587,711,393,3,0.5527426160337553,280,0.47700170357751276,0.0008004307746887207,0.007558821416270046
estresse_pre_dencun_2024,sensitivity,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,124,248,220,0,0.8870967741935484,107,0.8629032258064516,0.02984464168548584,0.02966195080549486
estresse_pre_dencun_2024,sensitivity,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,463,463,173,3,0.37365010799136067,173,0.37365010799136067,-0.0008851885795593262,-0.0042804357943730525
transicao_dencun_2024,strict,all,a_completa,AE,AE:a_completa,44,87,54,0,0.6206896551724138,15,0.3409090909090909,0.006566969677805901,0.011453865631215874
transicao_dencun_2024,strict,insertion,a_completa,AE,AE:a_completa,43,86,54,0,0.627906976744186,15,0.3488372093023256,0.006724507547914982,0.01213609743430171
transicao_dencun_2024,strict,displacement,a_completa,AE,AE:a_completa,1,1,0,0,0.0,0,0.0,-0.047218069434165955,-0.047218069434165955
transicao_dencun_2024,sensitivity,all,a_completa,AE,AE:a_completa,116,159,112,0,0.7044025157232704,73,0.6293103448275862,0.003680318593978882,0.007820883803157453
transicao_dencun_2024,sensitivity,insertion,a_completa,AE,AE:a_completa,43,86,54,0,0.627906976744186,15,0.3488372093023256,0.006724507547914982,0.01213609743430171
transicao_dencun_2024,sensitivity,displacement,a_completa,AE,AE:a_completa,73,73,58,0,0.7945205479452054,58,0.7945205479452054,0.003067442332394421,0.0027372074705765467
transicao_dencun_2024,strict,all,a_completa,IF,IF:a_completa,44,87,86,0,0.9885057471264368,43,0.9772727272727273,0.09764134883880615,0.09181695148862641
transicao_dencun_2024,strict,insertion,a_completa,IF,IF:a_completa,43,86,86,0,1.0,43,1.0,0.09765540063381195,0.09431052138639051
transicao_dencun_2024,strict,displacement,a_completa,IF,IF:a_completa,1,1,0,0,0.0,0,0.0,-0.1226300597190857,-0.1226300597190857
transicao_dencun_2024,sensitivity,all,a_completa,IF,IF:a_completa,116,159,109,1,0.6855345911949685,66,0.5689655172413793,0.03152048587799072,0.04886167679192885
transicao_dencun_2024,sensitivity,insertion,a_completa,IF,IF:a_completa,43,86,86,0,1.0,43,1.0,0.09765540063381195,0.09431052138639051
transicao_dencun_2024,sensitivity,displacement,a_completa,IF,IF:a_completa,73,73,23,1,0.3150684931506849,23,0.3150684931506849,-0.0030107200145721436,-0.004680797661820503
transicao_dencun_2024,strict,all,b_completa,AE,AE:b_completa,44,87,37,0,0.42528735632183906,12,0.2727272727272727,-0.008423373103141785,-0.00408682863003221
transicao_dencun_2024,strict,insertion,b_completa,AE,AE:b_completa,43,86,37,0,0.43023255813953487,12,0.27906976744186046,-0.00785035640001297,-0.003291732718258403
transicao_dencun_2024,strict,displacement,b_completa,AE,AE:b_completa,1,1,0,0,0.0,0,0.0,-0.07246507704257965,-0.07246507704257965
transicao_dencun_2024,sensitivity,all,b_completa,AE,AE:b_completa,116,159,83,0,0.5220125786163522,58,0.5,0.001391589641571045,-0.0015483070867803861
transicao_dencun_2024,sensitivity,insertion,b_completa,AE,AE:b_completa,43,86,37,0,0.43023255813953487,12,0.27906976744186046,-0.00785035640001297,-0.003291732718258403
transicao_dencun_2024,sensitivity,displacement,b_completa,AE,AE:b_completa,73,73,46,0,0.6301369863013698,46,0.6301369863013698,0.002508297562599182,0.0005055916023580995
transicao_dencun_2024,strict,all,b_completa,IF,IF:b_completa,44,87,84,0,0.9655172413793104,41,0.9318181818181818,0.06489881873130798,0.05938868961114993
transicao_dencun_2024,strict,insertion,b_completa,IF,IF:b_completa,43,86,84,0,0.9767441860465116,41,0.9534883720930233,0.06512786448001862,0.061180054794910343
transicao_dencun_2024,strict,displacement,b_completa,IF,IF:b_completa,1,1,0,0,0.0,0,0.0,-0.09466871619224548,-0.09466871619224548
transicao_dencun_2024,sensitivity,all,b_completa,IF,IF:b_completa,116,159,109,0,0.6855345911949685,66,0.5689655172413793,0.019228100776672363,0.03179396829515133
transicao_dencun_2024,sensitivity,insertion,b_completa,IF,IF:b_completa,43,86,84,0,0.9767441860465116,41,0.9534883720930233,0.06512786448001862,0.061180054794910343
transicao_dencun_2024,sensitivity,displacement,b_completa,IF,IF:b_completa,73,73,25,0,0.3424657534246575,25,0.3424657534246575,-0.0017644762992858887,-0.0028252568963455828
transicao_dencun_2024,strict,all,c_completa,AE,AE:c_completa,44,87,33,0,0.3793103448275862,6,0.13636363636363635,-0.01677018404006958,-0.014790141805150044
transicao_dencun_2024,strict,insertion,c_completa,AE,AE:c_completa,43,86,33,0,0.38372093023255816,6,0.13953488372093023,-0.016722027212381363,-0.01344062795126161
transicao_dencun_2024,strict,displacement,c_completa,AE,AE:c_completa,1,1,0,0,0.0,0,0.0,-0.13084833323955536,-0.13084833323955536
transicao_dencun_2024,sensitivity,all,c_completa,AE,AE:c_completa,116,159,49,0,0.3081761006289308,22,0.1896551724137931,-0.012531191110610962,-0.01940626967346893
transicao_dencun_2024,sensitivity,insertion,c_completa,AE,AE:c_completa,43,86,33,0,0.38372093023255816,6,0.13953488372093023,-0.016722027212381363,-0.01344062795126161
transicao_dencun_2024,sensitivity,displacement,c_completa,AE,AE:c_completa,73,73,16,0,0.2191780821917808,16,0.2191780821917808,-0.00951443612575531,-0.026434285948946052
transicao_dencun_2024,strict,all,c_completa,IF,IF:c_completa,44,87,85,0,0.9770114942528736,42,0.9545454545454546,0.06052425503730774,0.062345938435916244
transicao_dencun_2024,strict,insertion,c_completa,IF,IF:c_completa,43,86,85,0,0.9883720930232558,42,0.9767441860465116,0.060970962047576904,0.06384265700051951
transicao_dencun_2024,strict,displacement,c_completa,IF,IF:c_completa,1,1,0,0,0.0,0,0.0,-0.0663718581199646,-0.0663718581199646
transicao_dencun_2024,sensitivity,all,c_completa,IF,IF:c_completa,116,159,111,0,0.6981132075471698,68,0.5862068965517241,0.018776893615722656,0.03337246666914262
transicao_dencun_2024,sensitivity,insertion,c_completa,IF,IF:c_completa,43,86,85,0,0.9883720930232558,42,0.9767441860465116,0.060970962047576904,0.06384265700051951
transicao_dencun_2024,sensitivity,displacement,c_completa,IF,IF:c_completa,73,73,26,0,0.3561643835616438,26,0.3561643835616438,-0.0014926791191101074,-0.002523921940424671
transicao_dencun_2024,strict,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,44,87,57,0,0.6551724137931034,27,0.6136363636363636,0.009926259517669678,0.014053872583070021
transicao_dencun_2024,strict,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,43,86,57,0,0.6627906976744186,27,0.627906976744186,0.010104643180966377,0.01510727412045695
transicao_dencun_2024,strict,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,1,1,0,0,0.0,0,0.0,-0.07653865963220596,-0.07653865963220596
transicao_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,116,159,86,0,0.5408805031446541,56,0.4827586206896552,0.001894541084766388,0.007735367079482139
transicao_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,43,86,57,0,0.6627906976744186,27,0.627906976744186,0.010104643180966377,0.01510727412045695
transicao_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,73,73,29,0,0.3972602739726027,29,0.3972602739726027,-0.0006296336650848389,-0.0009493453249539415
transicao_dencun_2024,strict,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,44,87,84,0,0.9655172413793104,42,0.9545454545454546,0.027312904596328735,0.031093011642324513
transicao_dencun_2024,strict,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,43,86,84,0,0.9767441860465116,42,0.9767441860465116,0.027479693293571472,0.03268909835538199
transicao_dencun_2024,strict,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,1,1,0,0,0.0,0,0.0,-0.10617044568061829,-0.10617044568061829
transicao_dencun_2024,sensitivity,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,116,159,110,0,0.6918238993710691,68,0.5862068965517241,0.00754547119140625,0.015785914547038527
transicao_dencun_2024,sensitivity,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,43,86,84,0,0.9767441860465116,42,0.9767441860465116,0.027479693293571472,0.03268909835538199
transicao_dencun_2024,sensitivity,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,73,73,26,0,0.3561643835616438,26,0.3561643835616438,-0.0015992820262908936,-0.004127425281968835
transicao_dencun_2024,strict,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,44,87,48,0,0.5517241379310345,21,0.4772727272727273,0.005657263100147247,0.003918070731491878
transicao_dencun_2024,strict,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,43,86,48,0,0.5581395348837209,21,0.4883720930232558,0.006006404757499695,0.005534999765628992
transicao_dencun_2024,strict,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,1,1,0,0,0.0,0,0.0,-0.13513782620429993,-0.13513782620429993
transicao_dencun_2024,sensitivity,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,116,159,74,0,0.46540880503144655,47,0.4051724137931034,-0.00032857805490493774,0.0016124604398724419
