split,split_role,policy,attack_scope,configuration,method,model,rows,positives,contextual_negatives,prevalence,roc_auc,pr_auc_average_precision,roc_auc_ci_low,roc_auc_ci_high,pr_auc_ci_low,pr_auc_ci_high
estresse_pre_dencun_2024,historical_stress,strict,displacement,c_completa,IF,IF:c_completa,42,21,21,0.5,0.07936507936507937,0.33410798694631383,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,all,c_completa,IF,IF:c_completa,1101,612,489,0.555858310626703,0.6158242779047544,0.6298903933046468,0.580755418220458,0.64916015912159,0.6018685920482769,0.6633076983533599
estresse_pre_dencun_2024,historical_stress,sensitivity,insertion,c_completa,IF,IF:c_completa,371,247,124,0.6657681940700808,0.900450568107614,0.940155981993055,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,displacement,c_completa,IF,IF:c_completa,730,365,365,0.5,0.4883054982173015,0.4833286351382189,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,413,268,145,0.648910411622276,0.5488162635100361,0.6425322859582238,0.48911477097272255,0.6156201749871332,0.6071126155550899,0.6894254507543279
estresse_pre_dencun_2024,historical_stress,strict,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,371,247,124,0.6657681940700808,0.6137521222410867,0.7261404774082365,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,42,21,21,0.5,0.1655328798185941,0.3513686650882436,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,all,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,1101,612,489,0.555858310626703,0.47645922718098827,0.5304843394701254,0.4449117513399361,0.5065189896681236,0.5100477058516578,0.5587974111848899
estresse_pre_dencun_2024,historical_stress,sensitivity,insertion,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,371,247,124,0.6657681940700808,0.6137521222410867,0.7261404774082365,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,displacement,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,730,365,365,0.5,0.48546443985738413,0.4824007234808272,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,413,268,145,0.648910411622276,0.7516469377251672,0.7379079229980888,0.6819827586206897,0.8100495367987648,0.6909179761303331,0.7909789483562129
estresse_pre_dencun_2024,historical_stress,strict,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,371,247,124,0.6657681940700808,0.8742000783596708,0.9045511501698181,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,42,21,21,0.5,0.06802721088435376,0.3301006430722271,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,all,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,1101,612,489,0.555858310626703,0.5449864335645642,0.5533249058631512,0.5125255623721882,0.5772603068152959,0.5334590919326616,0.5795069618004651
estresse_pre_dencun_2024,historical_stress,sensitivity,insertion,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,371,247,124,0.6657681940700808,0.8742000783596708,0.9045511501698181,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,displacement,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,730,365,365,0.5,0.46398198536310753,0.46363721773001015,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,413,268,145,0.648910411622276,0.4901955738548636,0.6024928583729992,0.4324279464745239,0.5561663664436439,0.5753319324225067,0.6492913676200269
estresse_pre_dencun_2024,historical_stress,strict,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,371,247,124,0.6657681940700808,0.5444364633668539,0.6584642545392256,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,42,21,21,0.5,0.2063492063492064,0.37848936085397855,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,all,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,1101,612,489,0.555858310626703,0.43880401513025113,0.5106205852984715,0.39995455578277667,0.4709652385153107,0.487378051757058,0.5399419861687739
estresse_pre_dencun_2024,historical_stress,sensitivity,insertion,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,371,247,124,0.6657681940700808,0.5444364633668539,0.6584642545392256,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,displacement,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,730,365,365,0.5,0.47855132294989683,0.48630481489715927,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,413,268,145,0.648910411622276,0.7326556870818323,0.7336290701102937,0.6738799536798764,0.7889462171899125,0.6914983934910237,0.7866772225857137
estresse_pre_dencun_2024,historical_stress,strict,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,371,247,124,0.6657681940700808,0.8486352357320098,0.8800399489243922,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,strict,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,42,21,21,0.5,0.08616780045351474,0.3325736264817102,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,all,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,1101,612,489,0.555858310626703,0.5380745686140851,0.5550463190718784,0.5032822587112554,0.5717816054506328,0.5307706428728176,0.5864472893466733
estresse_pre_dencun_2024,historical_stress,sensitivity,insertion,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,371,247,124,0.6657681940700808,0.8486352357320098,0.8800399489243922,nan,nan,nan,nan
estresse_pre_dencun_2024,historical_stress,sensitivity,displacement,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,730,365,365,0.5,0.4590467254644398,0.46314591032522273,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,a_completa,AE,AE:a_completa,130,86,44,0.6615384615384615,0.6054439746300212,0.7680245570258886,0.4968287526427061,0.7005813953488372,0.6880925986492443,0.8425456137194244
transicao_dencun_2024,protocol_transition,strict,insertion,a_completa,AE,AE:a_completa,128,85,43,0.6640625,0.6136798905608755,0.7819860053306176,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,a_completa,AE,AE:a_completa,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,a_completa,AE,AE:a_completa,250,146,104,0.584,0.5038198103266596,0.62199516847408,0.43150355637513177,0.5739363804004214,0.5700223804750258,0.6832179686828413
transicao_dencun_2024,protocol_transition,sensitivity,insertion,a_completa,AE,AE:a_completa,128,85,43,0.6640625,0.6136798905608755,0.7819860053306176,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,displacement,a_completa,AE,AE:a_completa,122,61,61,0.5,0.5471647406611126,0.573219770374177,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,all,a_completa,IF,IF:a_completa,130,86,44,0.6615384615384615,0.9230972515856237,0.9491205691626295,0.8596458773784356,0.9718882135306554,0.8971703677962753,0.9852627132672422
transicao_dencun_2024,protocol_transition,strict,insertion,a_completa,IF,IF:a_completa,128,85,43,0.6640625,0.9430916552667579,0.9699601620582745,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,strict,displacement,a_completa,IF,IF:a_completa,2,1,1,0.5,0.0,0.5,nan,nan,nan,nan
transicao_dencun_2024,protocol_transition,sensitivity,all,a_completa,IF,IF:a_completa,250,146,104,0.584,0.7690002634351949,0.8403773499554463,0.7067826330347734,0.8195740582191781,0.79105630125705,0.8790816102283316
transicao_dencun_2024,protocol_transition,sensitivity,insertion,a_completa,IF,IF:a_completa,128,85,43,0.6640625,0.9430916552667579,0.9699601620582745,nan,nan,nan,nan
