detector,validation_status,economic_status,events
displacement,confirmed,insufficient_transfer_visibility,6
displacement,confirmed,requires_token_valuation,14
displacement,confirmed,weth_surplus_after_gas_observed,1
displacement,probable,insufficient_transfer_visibility,15
displacement,probable,requires_token_valuation,427
insertion,confirmed,insufficient_transfer_visibility,1
insertion,confirmed,mixed_assets_requires_valuation,67
insertion,confirmed,requires_token_valuation,12
insertion,confirmed,weth_surplus_after_gas_observed,44
