,gas_limit_log,gas_used_log,gas_used_ratio,effective_gas_price_log,max_fee_per_gas_log,max_priority_fee_log,fee_cap_utilization,transaction_fee_paid_log,transaction_value_log,is_zero_value,nonce_log,receipt_status,tx_type_0,tx_type_1,tx_type_2,tx_type_3,transaction_index_pct,block_tx_count_log,sender_tx_count_block_log,receiver_tx_count_block_log,gas_price_rank_block,value_rank_block,hour_sin,hour_cos,weekday_sin,weekday_cos
gas_limit_log,1.0,0.8303352837545396,-0.7816417122269695,0.05791375998135912,0.15781669685123598,0.13293398996720693,-0.08400850132542564,0.6302430474510667,-0.31849320616554877,0.36287004667429423,0.26606396879578925,-0.1455476515091999,-0.1508184540701926,0.07393501340330563,0.12629821054643592,0.019166415845124914,-0.24651242314026287,-0.05393367712387454,0.051469187441664004,0.18411700552917176,0.0974568308412145,-0.31427587617095715,0.0040751791541829676,-0.00752661744509346,0.006243616383034669,0.0043063854027762805
gas_used_log,0.8303352837545396,1.0,-0.4242158130536265,0.011746398937075422,0.09084421199142238,0.10891424043871642,0.08792080147029023,0.7124259636871179,-0.41140514525364924,0.4483708252299358,0.04649057707929285,-0.07138446728684827,-0.2156240691225782,-0.04415957793357495,0.21479409493399124,0.012663817915314032,-0.2181030102471755,-0.04868148098765854,-0.10692606474297497,0.24258006743040622,0.0014891198926951727,-0.40551505143089533,0.015553406005317969,-0.0017518946137034884,-0.0003059290141968309,0.011254332413659647
gas_used_ratio,-0.7816417122269695,-0.4242158130536265,1.0,-0.09038053350501195,-0.17918055054307688,-0.13009570398810297,0.20897294346595235,-0.33861990481477955,0.30402328489577307,-0.34853663090668285,-0.3487727855569225,0.11434986504302597,0.050208801747156875,-0.07698522679703561,-0.031631417079843675,-0.004701242328826785,0.2007227101270377,0.03839085291198569,-0.1550552155550639,-0.15103307262745194,-0.16994757622934054,0.3017302798199267,-0.003982022460994024,0.02800690219626935,-0.009336269312086547,0.006202713284721427
effective_gas_price_log,0.05791375998135912,0.011746398937075422,-0.09038053350501195,1.0,0.5971988742526672,0.2665277452525476,-0.028847706131257193,0.6730448980728057,0.03628745923805183,0.00032037344656119486,0.10507865784886408,-0.006962818349525882,-0.03087942075951296,0.02410509374862159,0.024432795450968964,0.002060115704902793,-0.15813422586079603,0.08747661249174615,0.05890660870913209,0.016400617161795104,0.22952960312917964,0.007914120907124216,-0.2388429516731327,-0.17287281695581533,0.11047520968176629,-0.18810925363985703
max_fee_per_gas_log,0.15781669685123598,0.09084421199142238,-0.17918055054307688,0.5971988742526672,1.0,0.6125188031184227,-0.43821642162519153,0.45441927298800816,-0.004763398835166701,0.04795331728836076,0.21697382918243205,-0.036398236969384594,-0.6187544667806375,-0.1124753497996026,0.6063210171201601,0.0677666800384646,-0.09111459853787758,0.02070760865920579,0.057203153880596845,-0.016721541681015455,0.11822203520029864,-0.021880973500933938,-0.13895043280720426,-0.1154434714609326,0.06839246939046793,-0.11324376725533186
max_priority_fee_log,0.13293398996720693,0.10891424043871642,-0.13009570398810297,0.2665277452525476,0.6125188031184227,1.0,0.05067778773666662,0.25118908293937486,-0.005616497871093091,0.04557751698782135,0.11004615404356746,-0.01594001080161438,-0.60630196141139,-0.11021177034645219,0.5942589425937932,0.06578364041139907,-0.37074496168957816,-0.05500414718413849,-0.024528336609999025,0.021249184430647064,0.5515128720616356,-0.012455053278410955,-0.04785155726999485,-0.04313754946834893,0.02158290742808281,-0.030901219036227265
fee_cap_utilization,-0.08400850132542564,0.08792080147029023,0.20897294346595235,-0.028847706131257193,-0.43821642162519153,0.05067778773666662,1.0,0.04394513023505166,0.019859173790704628,-0.05251561028624967,-0.27134015805272715,0.029044689711277,,,0.10797454907661852,-0.10797454907661852,-0.004639747924402983,-0.020702124389829088,-0.1386762862176471,0.05299226716099386,-0.03830307761265426,0.025993374895916674,0.003098200743803761,0.019489971301345083,-0.010943817965756638,0.013207757000849663
transaction_fee_paid_log,0.6302430474510667,0.7124259636871179,-0.33861990481477955,0.6730448980728057,0.45441927298800816,0.25118908293937486,0.04394513023505166,1.0,-0.22628290975962098,0.27317292764858714,0.10011951523382318,-0.05248679139469068,-0.16695068926975967,-0.016333681735100334,0.16086460813271794,0.017590273277398618,-0.2660284204376729,0.029456666089344836,-0.0391664765435733,0.17107656262833187,0.15188492664164824,-0.24102389351937212,-0.15163178030452518,-0.11339408139666719,0.07425008640825473,-0.117552638023265
transaction_value_log,-0.31849320616554877,-0.41140514525364924,0.30402328489577307,0.03628745923805183,-0.004763398835166701,-0.005616497871093091,0.019859173790704628,-0.22628290975962098,1.0,-0.933060824956772,-0.0401686202349003,0.011652342144478255,0.04550103445639803,0.04639951904746491,-0.03759334576899941,-0.07057907859761586,0.04210462950667259,0.007566509054615548,-0.02251383629070203,-0.18612038721492222,0.02155020234419552,0.9881927364154132,-0.03685586125721654,0.01816618147534106,0.0074590945452068505,-0.008643804160423393
is_zero_value,0.36287004667429423,0.4483708252299358,-0.34853663090668285,0.00032037344656119486,0.04795331728836076,0.04557751698782135,-0.05251561028624967,0.27317292764858714,-0.933060824956772,1.0,0.02906068327785489,-0.03073166937974236,-0.07385707201820377,-0.046921556936426266,0.06501798326468633,0.07106469831153459,-0.044950489748741274,-0.014175069811875878,-0.007555865897420625,0.21011885864543853,0.0074352741500373215,-0.9330600300936011,0.021441679289331383,-0.026553480664042353,-0.0005493297406570438,-0.001740001460472004
