feature,total_rows,valid_count,null_count,null_pct,distinct_count,minimum,p01,p25,median,mean,p75,p99,maximum,stddev
gas_limit_log,3210970,3210970,0,0.0,375224,9.952325334619427,9.952325334619427,10.003875726567397,11.344707976542544,11.439237791522675,12.370321452919283,14.71770277113836,17.216707972959764,1.2124859286932375
gas_used_log,3210970,3210970,0,0.0,306530,9.952325334619427,9.952325334619427,9.952325334619427,10.747229096720554,10.912414552483453,11.734243350770866,13.114691261845078,17.166390695063026,0.9215527895848651
gas_used_ratio,3210970,3210970,0,0.0,863309,0.0007368421052631579,0.042,0.5293791369300743,0.7280278820756305,0.696092018837522,1.0,1.0,1.0,0.2887774613758252
effective_gas_price_log,3210970,3210970,0,0.0,1006634,20.013108962298762,20.631630590694428,22.33270374958051,22.939025355506644,22.886734262526282,23.487963999752264,24.96280020996276,33.122275685744725,0.9168002582044259
max_fee_per_gas_log,3210970,3210970,0,0.0,1148497,0.0,0.0,22.05065755084712,23.072163128010047,19.71321385095266,23.857671523903676,26.769649234019184,33.12227595312787,8.590393639225189
max_priority_fee_log,3210970,3210970,0,0.0,383147,0.0,0.0,16.104101868055004,20.69280663049263,16.500505637263252,21.416413018006356,24.36974171487686,33.12220818817812,7.985525050756823
fee_cap_utilization,3210970,2705541,505429,15.740695179338331,1259790,0.0001108161154,0.01912959356215299,0.6335526662566459,0.7832358348308461,0.7249083464838263,0.9174235062031415,1.0,1.0,0.2598122397218888
transaction_fee_paid_log,3210970,3210970,0,0.0,2348565,29.96538667697011,30.857865110445964,32.9112003439338,33.73922083408372,33.79912332190804,34.664108232878284,36.95244316507785,43.074553402450285,1.3071245668769707
transaction_value_log,3210970,3210970,0,0.0,902936,0.0,0.0,0.0,0.0,17.66306106005304,37.82343996031689,43.152002033685,52.1960036625441,18.807403825318275
is_zero_value,3210970,3210970,0,0.0,2,0.0,0.0,0.0,1.0,0.5198260961640875,1.0,1.0,1.0,0.49960684907894576
nonce_log,3210970,3210970,0,0.0,665796,0.0,0.0,2.302585092994046,5.075173815233827,6.259969324090414,9.958165113826825,16.185555526394914,17.636586254411128,4.819380658079471
receipt_status,3210970,3210970,0,0.0,2,0.0,0.0,1.0,1.0,0.98041432962625,1.0,1.0,1.0,0.13857156226985948
tx_type_0,3210970,3210970,0,0.0,2,0.0,0.0,0.0,0.0,0.1515713320273936,0.0,1.0,1.0,0.35860494054636327
tx_type_1,3210970,3210970,0,0.0,2,0.0,0.0,0.0,0.0,0.005835619765989716,0.0,0.0,1.0,0.0761680189760265
tx_type_2,3210970,3210970,0,0.0,2,0.0,0.0,1.0,1.0,0.8354914558529043,1.0,1.0,1.0,0.3707364641557198
tx_type_3,3210970,3210970,0,0.0,2,0.0,0.0,0.0,0.0,0.0071015923537124295,0.0,0.0,1.0,0.08397119706014783
tx_type_4,3210970,3210970,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tx_type_other,3210970,3210970,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max_fee_missing,3210970,3210970,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
priority_fee_missing,3210970,3210970,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transaction_index_pct,3210970,3210969,1,3.114323709034965e-05,75987,0.0,0.006896551724137931,0.2484076433121019,0.5,0.4999999999999995,0.7515923566878981,0.993103448275862,1.0,0.29045238024017483
is_contract_creation,3210970,3210970,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
creates_contract,3210970,3210970,0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
block_tx_count_log,3210970,3210970,0,0.0,473,0.6931471805599453,4.23410650459726,4.955827057601261,5.14166355650266,5.171776447659841,5.365976015021851,6.154858094016418,7.224753405767971,0.37112683213545195
sender_tx_count_block_log,3210970,3210970,0,0.0,106,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.8195160532042982,0.6931471805599453,2.833213344056216,5.583496308781699,0.40611879406694923
receiver_tx_count_block_log,3210970,3210970,0,0.0,202,0.6931471805599453,0.6931471805599453,0.6931471805599453,0.6931471805599453,1.3748905329557397,1.9459101490553132,4.736198448394496,7.199678345691172,1.0314359739889667
gas_price_rank_block,3210970,3210970,0,0.0,44882,0.0,0.0,0.2,0.45121951219512196,0.46131707839816655,0.7071823204419889,0.9925925925925926,1.0,0.29684473201435596
value_rank_block,3210970,3210970,0,0.0,41840,0.0,0.0,0.0,0.0,0.36002191987178334,0.7489539748953975,0.993006993006993,1.0,0.39040805990772276
hour_sin,3210970,3210970,0,0.0,21,-1.0,-1.0,-0.7071067811865477,0.0,-0.01991592674859489,0.7071067811865476,1.0,1.0,0.7064704908747436
hour_cos,3210970,3210970,0,0.0,22,-1.0,-1.0,-0.7071067811865479,-1.8369701987210297e-16,-0.026333125855118107,0.7071067811865474,1.0,1.0,0.7069721910801202
weekday_sin,3210970,3210970,0,0.0,7,-0.9749279121818236,-0.9749279121818237,-0.7818314824680299,0.0,0.010573827334058865,0.7818314824680298,0.9749279121818237,0.9749279121818236,0.7113246529422377
weekday_cos,3210970,3210970,0,0.0,7,-0.9009688679024191,-0.9009688679024191,-0.900968867902419,-0.22252093395631434,-0.011627487089816297,0.6234898018587336,1.0,1.0,0.7026880852779809
