detector,validation_status,economic_status,events
displacement,confirmed,insufficient_transfer_visibility,13
displacement,confirmed,no_weth_surplus_after_gas,3
displacement,confirmed,requires_token_valuation,9
displacement,probable,insufficient_transfer_visibility,6
displacement,probable,requires_token_valuation,182
insertion,confirmed,mixed_assets_requires_valuation,233
insertion,confirmed,no_weth_surplus_after_gas,7
insertion,confirmed,requires_token_valuation,115
insertion,confirmed,weth_surplus_after_gas_observed,102
