configuration,calibration_split,validation_rows,q990,q995,q999
a_completa,validacao_2025_pre_pectra,1442555,0.6086758971214294,0.6230980157852173,0.6465973854064941
b_completa,validacao_2025_pre_pectra,1442555,0.5865883231163025,0.6005332469940186,0.6205999851226807
c_completa,validacao_2025_pre_pectra,1442555,0.5805515050888062,0.5934901833534241,0.6142990589141846
b_sem_taxas_absolutas,validacao_2025_pre_pectra,1442555,0.5976196527481079,0.6195304989814758,0.6412327885627747
c_sem_taxas_absolutas,validacao_2025_pre_pectra,1442555,0.5943944454193115,0.6082654595375061,0.6276766657829285
