detector,validation_status,economic_status,events
displacement,confirmed,insufficient_transfer_visibility,1
displacement,confirmed,requires_token_valuation,2
displacement,probable,requires_token_valuation,15
insertion,confirmed,mixed_assets_requires_valuation,53
insertion,confirmed,no_weth_surplus_after_gas,2
insertion,confirmed,requires_token_valuation,29
insertion,confirmed,weth_surplus_after_gas_observed,10
