feature,total_rows,null_count,non_finite_count,distinct_count,minimum,maximum,mean,stddev,is_constant
gas_used_log,3210970,0,0,306530,9.952325334619427,17.166390695063026,10.912414552483703,0.9215527895848683,False
gas_used_ratio,3210970,0,0,863309,0.0007368421052631579,1.0,0.6960920188375362,0.28877746137582705,False
effective_gas_price_log,3210970,0,0,1006634,20.013108962298762,33.122275685744725,22.886734262525465,0.9168002582044196,False
max_fee_per_gas_log,3210970,0,0,1148497,0.0,33.12227595312787,19.713213850953007,8.590393639225221,False
max_priority_fee_log,3210970,0,0,383147,0.0,33.12220818817812,16.500505637262883,7.985525050756915,False
fee_cap_utilization,3210970,0,0,1259791,0.0,1.0,0.6108027333342149,0.35577112263071997,False
transaction_value_log,3210970,0,0,902936,0.0,52.1960036625441,17.66306106005258,18.807403825318314,False
nonce_log,3210970,0,0,665796,0.0,17.636586254411128,6.259969324090449,4.819380658079458,False
receipt_status,3210970,0,0,2,0,1,0.98041432962625,0.138571562269859,False
tx_type_0,3210970,0,0,2,0,1,0.1515713320273936,0.3586049405463633,False
tx_type_1,3210970,0,0,2,0,1,0.005835619765989716,0.0761680189760263,False
tx_type_3,3210970,0,0,2,0,1,0.0071015923537124295,0.08397119706014822,False
transaction_index_pct,3210970,0,0,75987,0.0,1.0,0.4999998442838126,0.2904524690410258,False
block_tx_count_log,3210970,0,0,473,0.6931471805599453,7.224753405767971,5.171776447659413,0.3711268321354541,False
sender_tx_count_block_log,3210970,0,0,106,0.6931471805599453,5.583496308781699,0.8195160532043428,0.40611879406695023,False
receiver_tx_count_block_log,3210970,0,0,202,0.6931471805599453,7.199678345691172,1.3748905329559258,1.031435973988966,False
gas_price_rank_block,3210970,0,0,44882,0.0,1.0,0.46131707839815683,0.29684473201435524,False
hour_sin,3210970,0,0,21,-1.0,1.0,-0.019915926748595356,0.7064704908747442,False
hour_cos,3210970,0,0,22,-1.0,1.0,-0.02633312585511869,0.7069721910801243,False
weekday_sin,3210970,0,0,7,-0.9749279121818236,0.9749279121818236,0.010573827334059205,0.7113246529422399,False
weekday_cos,3210970,0,0,7,-0.9009688679024191,1.0,-0.011627487089844249,0.7026880852779761,False
gas_limit_log,3210970,0,0,375224,9.952325334619427,17.216707972959764,11.43923779152302,1.2124859286932368,False
transaction_fee_paid_log,3210970,0,0,2348565,29.96538667697011,43.074553402450285,33.79912332190738,1.3071245668769473,False
