token_address,reference_block,symbol,name,decimals,metadata_status,provider_host
0xbf930d7bf706cfa01f25b154951b580e8c97a5d2,19542200,DXTR,Dextro,18,complete,eth-mainnet.g.alchemy.com
0xc01b1979e2244dc94e67891df0af4f7885e57fd4,19525400,LAN,Lanify,18,complete,eth-mainnet.g.alchemy.com
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,19423900,WETH,Wrapped Ether,18,complete,eth-mainnet.g.alchemy.com
0xc092a137df3cf2b9e5971ba1874d26487c12626d,19463800,RING,Ring AI,18,complete,eth-mainnet.g.alchemy.com
0xc14b4d4ca66f40f352d7a50fd230ef8b2fb3b8d4,19466700,TOOLS,BLOCKTOOLS,18,complete,eth-mainnet.g.alchemy.com
0xc82e3db60a52cf7529253b4ec688f631aad9e7c2,19530900,ARC,ARC,18,complete,eth-mainnet.g.alchemy.com
0xce6e54daa1ea95fb3530859d69d4bdb978dd821b,19438000,ORBK,Ordibank,18,complete,eth-mainnet.g.alchemy.com
0xdab396ccf3d84cf2d07c4454e10c8a6f5b008d2b,19424900,GFI,Goldfinch,18,complete,eth-mainnet.g.alchemy.com
0xdac17f958d2ee523a2206206994597c13d831ec7,19423900,USDT,Tether USD,6,complete,eth-mainnet.g.alchemy.com
0xe2cfd7a01ec63875cd9da6c7c1b7025166c2fa2f,19474800,HYPER,Hyper,18,complete,eth-mainnet.g.alchemy.com
0xe453c3409f8ad2b1fe1ed08e189634d359705a5b,19441500,DGI,DGI Game,18,complete,eth-mainnet.g.alchemy.com
0xe842e272a18625319cc36f64eb9f97e5ad0c32af,19510100,YAK,YAK,9,complete,eth-mainnet.g.alchemy.com
0xee27bff55522dee83ff2a48d2f5d146f3eb234c5,19503000,SPA,0xSpade AI,9,complete,eth-mainnet.g.alchemy.com
0xf19308f923582a6f7c465e5ce7a9dc1bec6665b1,19474800,TITANX,TITAN X,18,complete,eth-mainnet.g.alchemy.com
0xf21661d0d1d76d3ecb8e1b9f1c923dbfffae4097,19523300,RIO,Realio Network,18,complete,eth-mainnet.g.alchemy.com
0xf34a43471e4a9cbf28e004d1b95b52a59b449dd6,19441700,NODE,Nodify,9,complete,eth-mainnet.g.alchemy.com
0xf411903cbc70a74d22900a5de66a2dda66507255,19443600,VRA,VERA,18,complete,eth-mainnet.g.alchemy.com
0xff44b937788215eca197baaf9af69dbdc214aa04,19447500,ROCKI,ROCKI,18,complete,eth-mainnet.g.alchemy.com
