detection_event_id,detector,validation_status,attacker_address,attacker_executor_address,transaction_hash,transaction_role,block_number,token_address,from_address,to_address,amount_raw,log_index,attacker_entity_delta_raw,is_weth
46,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x09e92dc70288525146750356fdef038351b394c4712ba442c731c80f9d2b17fc,attacker_front,19424900,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x3b1ac05b1e4778906ba60c1fd3356038512886e9,2289071343,1,-2289071343,false
131,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xaa40775917c4a76bce5dede421b9f80cb74736db89e77c030af555defe883bcb,attacker_back,19428200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x57654ae132413e81459ad2ae70c2570a9b89fb53,3930912948729413632,29,-3930912948729413632,true
131,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xaa40775917c4a76bce5dede421b9f80cb74736db89e77c030af555defe883bcb,attacker_back,19428200,0x27c70cd1946795b66be9d954418546998b546634,0x57654ae132413e81459ad2ae70c2570a9b89fb53,0x874376be8231dad99aabf9ef0767b3cc054c60ee,24996115926441000960,30,0,false
131,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xaa40775917c4a76bce5dede421b9f80cb74736db89e77c030af555defe883bcb,attacker_back,19428200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x874376be8231dad99aabf9ef0767b3cc054c60ee,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,4167853272108892160,33,4167853272108892160,true
131,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6d485a18c348e46420de7f5b51d43e42e60e25dcab2749b896bb72512cc54891,attacker_front,19428200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x874376be8231dad99aabf9ef0767b3cc054c60ee,3761858676567048192,11,-3761858676567048192,true
131,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6d485a18c348e46420de7f5b51d43e42e60e25dcab2749b896bb72512cc54891,attacker_front,19428200,0x27c70cd1946795b66be9d954418546998b546634,0x874376be8231dad99aabf9ef0767b3cc054c60ee,0x57654ae132413e81459ad2ae70c2570a9b89fb53,22320919473666654208,12,0,false
131,insertion,confirmed,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0x6d485a18c348e46420de7f5b51d43e42e60e25dcab2749b896bb72512cc54891,attacker_front,19428200,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x57654ae132413e81459ad2ae70c2570a9b89fb53,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,3550659646970658816,15,3550659646970658816,true
139,insertion,confirmed,0xf9cafeb32467994e3affd61e30865e5ab32abe68,0x429cf888dae41d589d57f6dc685707bec755fe63,0xc24fab12bd1891035c5bc46d306e7dba71ab0cc04252b52759239a774f805e72,attacker_back,19428600,0xdac17f958d2ee523a2206206994597c13d831ec7,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0x429cf888dae41d589d57f6dc685707bec755fe63,68563765030,25,68563765030,false
139,insertion,confirmed,0xf9cafeb32467994e3affd61e30865e5ab32abe68,0x429cf888dae41d589d57f6dc685707bec755fe63,0xc24fab12bd1891035c5bc46d306e7dba71ab0cc04252b52759239a774f805e72,attacker_back,19428600,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x429cf888dae41d589d57f6dc685707bec755fe63,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,17185989175483776514,26,-17185989175483776514,true
139,insertion,confirmed,0xf9cafeb32467994e3affd61e30865e5ab32abe68,0x429cf888dae41d589d57f6dc685707bec755fe63,0x95da106d52637ba5f78da6b416e65bdd1ab6b85c73553108f6c898411d2238bc,attacker_front,19428600,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0xc7bbec68d12a0d1830360f8ec58fa599ba1b0e9b,0x429cf888dae41d589d57f6dc685707bec755fe63,17205297170503038324,16,17205297170503038324,true
