split,configuration,method,model,top_fraction,top_n,positives_in_top,precision_at_top,recall_at_top,lift_at_top
estresse_fusaka_2025,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.01,5125,57,0.011121951219512195,0.01211734693877551,1.2116448481831756
estresse_fusaka_2025,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,0.05,25624,260,0.010146737433655947,0.055272108843537414,1.1054033500693439
estresse_fusaka_2025,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.001,513,0,0.0,0.0,0.0
estresse_fusaka_2025,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.005,2563,24,0.009364026531408505,0.00510204081632653,1.0201334533032878
estresse_fusaka_2025,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.01,5125,79,0.015414634146341463,0.01679421768707483,1.6792972457275592
estresse_fusaka_2025,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,0.05,25624,519,0.020254448954105525,0.11033163265306123,2.206555148792267
estresse_fusaka_2025,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.001,513,0,0.0,0.0,0.0
estresse_fusaka_2025,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.005,2563,1,0.0003901677721420211,0.00021258503401360543,0.042505560554303656
estresse_fusaka_2025,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.01,5125,29,0.0056585365853658535,0.006164965986394558,0.616450887672142
estresse_fusaka_2025,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,0.05,25624,258,0.01006868560724321,0.0548469387755102,1.0969002473765028
