split,split_role,configuration,method,model,rows,positives,negatives,prevalence,roc_auc,pr_auc_average_precision,assumption
treino_2024_pos_dencun,train,b_completa,AE,AE:b_completa,3210970,22203,3188767,0.006914732931170332,0.5462885944894486,0.007121272520966427,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,b_completa,IF,IF:b_completa,3210970,22203,3188767,0.006914732931170332,0.8866878620434242,0.027886429458210633,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,c_completa,AE,AE:c_completa,3210970,22203,3188767,0.006914732931170332,0.419663985786247,0.0053281373077079825,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,c_completa,IF,IF:c_completa,3210970,22203,3188767,0.006914732931170332,0.8830268698843542,0.02722013220323787,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,3210970,22203,3188767,0.006914732931170332,0.6396263319596027,0.009095860947146185,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,3210970,22203,3188767,0.006914732931170332,0.6792965943371523,0.009622947591236138,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,3210970,22203,3188767,0.006914732931170332,0.6616319186544594,0.010094349369611122,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
treino_2024_pos_dencun,train,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,3210970,22203,3188767,0.006914732931170332,0.6789260349413574,0.009592852913121227,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,a_completa,AE,AE:a_completa,1442555,12682,1429873,0.008791345910554537,0.5216782366655602,0.008257818035680828,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,a_completa,IF,IF:a_completa,1442555,12682,1429873,0.008791345910554537,0.8834536087572284,0.05156277870555647,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,b_completa,AE,AE:b_completa,1442555,12682,1429873,0.008791345910554537,0.5257339738442431,0.008992475074888743,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,b_completa,IF,IF:b_completa,1442555,12682,1429873,0.008791345910554537,0.9032807997625636,0.052510436901751945,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,c_completa,AE,AE:c_completa,1442555,12682,1429873,0.008791345910554537,0.4233762346771338,0.00705260756551122,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,c_completa,IF,IF:c_completa,1442555,12682,1429873,0.008791345910554537,0.8988374666372299,0.06274903804432808,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,1442555,12682,1429873,0.008791345910554537,0.6321689871400274,0.011210907481681923,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,1442555,12682,1429873,0.008791345910554537,0.7006684178425419,0.013027368371253182,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,1442555,12682,1429873,0.008791345910554537,0.6658840839738733,0.013041437418664335,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
validacao_2025_pre_pectra,validation,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,1442555,12682,1429873,0.008791345910554537,0.6821641923633033,0.012328264835930518,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,a_completa,AE,AE:a_completa,423759,4275,419484,0.010088281310839416,0.5552237268276297,0.010133767775550641,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,a_completa,IF,IF:a_completa,423759,4275,419484,0.010088281310839416,0.8951128504242556,0.06958395832263825,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,b_completa,AE,AE:b_completa,423759,4275,419484,0.010088281310839416,0.57658090242978,0.012972728239886065,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,b_completa,IF,IF:b_completa,423759,4275,419484,0.010088281310839416,0.9139590059433085,0.07400943551159894,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,c_completa,AE,AE:c_completa,423759,4275,419484,0.010088281310839416,0.4993808801356119,0.010196981676295173,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,c_completa,IF,IF:c_completa,423759,4275,419484,0.010088281310839416,0.912789764657119,0.08889801250930113,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,423759,4275,419484,0.010088281310839416,0.6622030574906815,0.014266157430714459,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,423759,4275,419484,0.010088281310839416,0.7337830049739192,0.017372727545598887,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,AE,AE:c_sem_taxas_absolutas,423759,4275,419484,0.010088281310839416,0.7122470151438072,0.021349805633647672,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
transicao_pectra_2025,protocol_transition,c_sem_taxas_absolutas,IF,IF:c_sem_taxas_absolutas,423759,4275,419484,0.010088281310839416,0.7067499703478642,0.015622532024363395,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
teste_final_2025,test,a_completa,AE,AE:a_completa,2827717,49525,2778192,0.01751412888913565,0.46257886228468004,0.014638776544799944,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
teste_final_2025,test,a_completa,IF,IF:a_completa,2827717,49525,2778192,0.01751412888913565,0.8862017624755623,0.0930895185214115,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
teste_final_2025,test,b_completa,AE,AE:b_completa,2827717,49525,2778192,0.01751412888913565,0.692801310120023,0.03674882413337399,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
teste_final_2025,test,b_completa,IF,IF:b_completa,2827717,49525,2778192,0.01751412888913565,0.948903912056408,0.27212264437620914,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
teste_final_2025,test,c_completa,AE,AE:c_completa,2827717,49525,2778192,0.01751412888913565,0.6723492672162934,0.06532615417156144,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
teste_final_2025,test,c_completa,IF,IF:c_completa,2827717,49525,2778192,0.01751412888913565,0.9455821210951624,0.3030619363932829,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
teste_final_2025,test,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,2827717,49525,2778192,0.01751412888913565,0.7777574822196982,0.19089838324532102,Hipótese experimental: endereços MEV Bot do Label Cloud são positivos; todos os endereços ausentes são negativos.
