split,configuration,method,model,threshold,tn,fp,fn,tp,precision,recall_sensitivity,specificity,npv,f1,balanced_accuracy,mcc,false_positive_rate,predicted_positive_rate
estresse_pre_dencun_2024,a_completa,AE,AE:a_completa,q990,823289,4661,4726,0,0.0,0.0,0.9943704329971617,0.9942923739304239,0.0,0.49718521649858083,-0.005668462171155869,0.005629567002838343,0.005597615399026752
estresse_pre_dencun_2024,a_completa,AE,AE:a_completa,q995,825848,2102,4726,0,0.0,0.0,0.9974611993477867,0.9943099591366934,0.0,0.4987305996738933,-0.0038007735337537625,0.0025388006522133466,0.002524391239809962
estresse_pre_dencun_2024,a_completa,AE,AE:a_completa,q999,827585,365,4726,0,0.0,0.0,0.9995591521227127,0.9943218340259831,0.0,0.49977957606135637,-0.0015821527791367676,0.0004408478772872648,0.0004383457671411209
estresse_pre_dencun_2024,a_completa,IF,IF:a_completa,q990,824464,3486,4719,7,0.002004008016032064,0.0014811680067710537,0.9957896008213056,0.9943088558255536,0.0017033702396885265,0.4986353844140383,-0.003172230593552431,0.004210399178694368,0.004194908944175166
estresse_pre_dencun_2024,a_completa,IF,IF:a_completa,q995,826281,1669,4724,2,0.0011968880909634949,0.00042319085907744394,0.9979841777885138,0.994315316995686,0.0006252931061435048,0.49920368432379564,-0.002673462713819409,0.002015822211486218,0.0020067829503912686
estresse_pre_dencun_2024,a_completa,IF,IF:a_completa,q999,827638,312,4726,0,0.0,0.0,0.9996231656500997,0.9943221955778963,0.0,0.49981158282504984,-0.0014627343361885133,0.0003768343499003235,0.0003746955598576157
estresse_pre_dencun_2024,b_completa,AE,AE:b_completa,q990,818666,9284,4691,35,0.0037557677862431593,0.007405840033855269,0.9887867624856573,0.9943025929214181,0.004983980064079744,0.4980963012597563,-0.00271893224440515,0.011213237514342667,0.011191627956131796
estresse_pre_dencun_2024,b_completa,AE,AE:b_completa,q995,821950,6000,4697,29,0.00481008459114281,0.006136267456622937,0.9927531855788393,0.9943180099849149,0.005392840539284054,0.49944472651773114,-0.0009840182528403879,0.007246814421160708,0.0072405113153255285
estresse_pre_dencun_2024,b_completa,AE,AE:b_completa,q999,825441,2509,4720,6,0.002385685884691849,0.0012695725772323319,0.9969696237695513,0.994314355890002,0.001657229664410993,0.49911959817339185,-0.002410514156477901,0.0030303762304486614,0.0030203824776984084
estresse_pre_dencun_2024,b_completa,IF,IF:b_completa,q990,822446,5504,4717,9,0.0016325049882096863,0.0019043588658484976,0.9933522555709886,0.9942973754870563,0.0017579841781423969,0.49762830721841855,-0.0043938759875502345,0.006647744429011393,0.00662082250479178
estresse_pre_dencun_2024,b_completa,IF,IF:b_completa,q995,824993,2957,4717,9,0.0030343897505057315,0.0019043588658484976,0.9964285282927713,0.994314881103036,0.00234009360374415,0.4991664435793099,-0.00210215712996944,0.0035714717072287128,0.003562009713261821
estresse_pre_dencun_2024,b_completa,IF,IF:b_completa,q999,826914,1036,4726,0,0.0,0.0,0.9987487167099462,0.9943172526573998,0.0,0.4993743583549731,-0.0026665946057458606,0.0012512832900537507,0.0012441814102964418
estresse_pre_dencun_2024,c_completa,AE,AE:c_completa,q990,816772,11178,4717,9,0.0008045052292839903,0.0019043588658484976,0.9864991847333776,0.9942579876297796,0.0011311506315591026,0.49420177179961305,-0.007566874274651256,0.01350081526662239,0.013434997526048547
estresse_pre_dencun_2024,c_completa,AE,AE:c_completa,q995,820348,7602,4717,9,0.0011824990145841545,0.0019043588658484976,0.9908182861283894,0.9942828746826008,0.0014590256950636298,0.49636132249711895,-0.005744570081742571,0.009181713871610597,0.009140409955372799
estresse_pre_dencun_2024,c_completa,AE,AE:c_completa,q999,827098,852,4726,0,0.0,0.0,0.9989709523521951,0.994318509684741,0.0,0.49948547617609756,-0.0024179586938041626,0.0010290476478048705,0.0010232071057650275
estresse_pre_dencun_2024,c_completa,IF,IF:c_completa,q990,822158,5792,4716,10,0.001723543605653223,0.0021159542953872196,0.9930044084787729,0.9942965917419099,0.0018996960486322187,0.4975601813870801,-0.004406846458845081,0.006995591521227085,0.006967896276582969
estresse_pre_dencun_2024,c_completa,IF,IF:c_completa,q995,824713,3237,4724,2,0.0006174745291756715,0.00042319085907744394,0.9960903436197838,0.9943045704495941,0.0005021971123666039,0.49825676723943063,-0.00420762582692574,0.003909656380216231,0.0038898683281372347
estresse_pre_dencun_2024,c_completa,IF,IF:c_completa,q999,827263,687,4726,0,0.0,0.0,0.9991702397487771,0.994319636437501,0.0,0.49958511987438853,-0.0021710227766323863,0.0008297602512229441,0.0008250508000710961
estresse_pre_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,q990,815328,12622,4726,0,0.0,0.0,0.9847551180626849,0.9942369648828004,0.0,0.49237755903134245,-0.009373195290951134,0.015244881937315102,0.015158356911932132
estresse_pre_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,q995,819871,8079,4726,0,0.0,0.0,0.9902421643819072,0.9942687155058774,0.0,0.4951210821909536,-0.007478297398082854,0.009757835618092847,0.009702453295159221
estresse_pre_dencun_2024,b_sem_taxas_absolutas,AE,AE:b_sem_taxas_absolutas,q999,825558,2392,4726,0,0.0,0.0,0.9971109366507639,0.994307971730155,0.0,0.49855546832538195,-0.004055197930708784,0.0028890633492361095,0.002872665958908387
estresse_pre_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,q990,821135,6815,4726,0,0.0,0.0,0.991768826619965,0.9942774873737832,0.0,0.4958844133099825,-0.0068631620697627215,0.008231173380034984,0.008184455898812984
estresse_pre_dencun_2024,b_sem_taxas_absolutas,IF,IF:b_sem_taxas_absolutas,q995,824792,3158,4726,0,0.0,0.0,0.9961857600096624,0.9943027155528873,0.0,0.4980928800048312,-0.004661631707300078,0.0038142399903375868,0.003792591596251123
