source_position,address,mev_category,issue
1,0x1f9090aae28b8a3dceadf281b0f12828e676c326,mev_builder,name_tag_blank_but_category_membership_preserved
164,0x1f9090aae28b8a3dceadf281b0f12828e676c326,mev_bot,name_tag_blank_but_category_membership_preserved
327,0x7776ebf769faf37ad9df8f6287b578a72dd9a777,mev_bot,name_tag_blank_but_category_membership_preserved
