split_order,split,role,start_date,end_date,feature,matrices,transformation,rows,psi,psi_level,ks_approx,ks_level,drift_level,reference_median,current_median,median_shift,reference_iqr,current_iqr,iqr_ratio,reference_zero_share,current_zero_share,zero_share_delta,outside_training_range_share,outside_training_robust_fence_share,current_min,current_max,current_mean,current_std,psi_bins,ks_grid_points
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,gas_used_log,A/B/C,robust_scaler_train,832676,0.013670592007919037,baixo,0.03511233030075689,baixo,baixo,0.0,-0.004130490556725333,-0.004130490556725333,1.0,0.9363222836306426,0.9363222836306426,3.0831804719446146e-05,1.9215156915775165e-05,-1.1616647803670981e-05,0.0,0.003887466433522763,-0.44609446388445456,3.509105388075404,0.06658136441509521,0.5208898322360436,9,71
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,gas_used_ratio,A/B/C,passthrough,832676,0.01803624430399515,baixo,0.05919714271259968,baixo,baixo,0.7280278820756305,0.7575755845451575,0.029547702469526982,0.4706208630699257,0.4391099306769364,0.9330439109999521,0.0,0.0,0.0,0.0,0.0,0.0007368421052631579,1.0,0.7083731071969558,0.2916725832560587,9,75
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,effective_gas_price_log,A/B/C,robust_scaler_train,832676,5.435318564451308,alto,0.6150714852705171,alto,alto,0.0,1.0540618226745715,1.0540618226745715,1.0,0.7795170917682519,0.7795170917682519,1.5571618545174823e-06,0.0,-1.5571618545174823e-06,0.0,0.042443879732332865,-0.21705171404171442,7.349770474206738,1.074642701299331,0.532142116207455,10,101
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,max_fee_per_gas_log,A/B/C,conditional_robust_scaler_train,832676,3.5238700918968178,alto,0.4606901319013586,alto,alto,0.0,0.7668047565080867,0.7668047565080867,0.7829188343284547,0.9231215916849596,1.1790770016112375,0.1574075746581251,0.1532132546152405,-0.004194320042884614,0.0,0.09602654573927914,-0.44832765660469387,5.908496027695576,0.8038015554580482,0.6242584990372435,10,84
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,max_priority_fee_log,A/B/C,conditional_robust_scaler_train,832676,0.1704471315410826,moderado,0.18889251362940562,moderado,moderado,0.0,0.0,0.0,0.8154796764153621,1.065672803373778,1.306804858777352,0.23014571920634574,0.2354541262147582,0.005308407008412452,0.0,0.08785049647161682,-6.917596103832903,3.573520196439295,-0.49709918936798303,1.1496634290425274,8,57
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,fee_cap_utilization,A/B/C,passthrough,832676,0.09324848380257635,baixo,0.09258074803425809,baixo,baixo,0.7413346315067423,0.7172215103616137,-0.024113121145128535,0.5218538753991288,0.36325236284294815,0.6960806079386157,0.15740695179338332,0.1532132546152405,-0.00419369717814283,0.0,0.0,0.0,1.0,0.5983262393841631,0.32781564000799024,10,75
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,transaction_value_log,A/B/C,robust_scaler_train,832676,0.04669255527913244,baixo,0.050515271327351674,baixo,baixo,0.0,0.0,0.0,1.0,1.0143385816571036,1.0143385816571036,0.5198260961640875,0.5182183706507694,-0.0016077255133181145,0.0,0.0,0.0,1.379064133176962,0.48283007886656637,0.5078878013219623,6,50
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,nonce_log,A/B/C,robust_scaler_train,832676,0.004477936890276289,baixo,0.02306576403732996,baixo,baixo,0.0,0.02516913719210805,0.02516913719210805,1.0,1.033817562338962,1.033817562338962,0.0005509238641282852,0.0005272158678765811,-2.370799625170416e-05,0.0,0.0,-0.6629378572783498,1.6408134609954645,0.18222647844623652,0.637333806049843,10,87
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,receipt_status,A/B/C,passthrough,832676,0.0,baixo,0.0038172322297419965,baixo,baixo,1.0,1.0,0.0,0.0,0.0,,0.01958567037374999,0.015768438144007992,-0.0038172322297419965,0.0,0.015768438144007992,0.0,1.0,0.984231561855992,0.12457854205674584,2,2
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,tx_type_0,A/B/C,passthrough,832676,4.460630948598493e-05,baixo,0.0023872556279297408,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.8484286679726064,0.8508159236005362,0.0023872556279297408,0.0,0.1491840763994639,0.0,1.0,0.1491840763994639,0.35627003828914866,3,2
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,tx_type_1,A/B/C,passthrough,832676,0.0006724179400573449,baixo,0.0018064415502130338,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.9941643802340103,0.9959708217842234,0.0018064415502130338,0.0,0.0040291782157766045,0.0,1.0,0.0040291782157766045,0.0633478394108444,2,2
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,tx_type_3,A/B/C,passthrough,832676,0.06301919320167541,baixo,0.007101592353712438,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.9928984076462876,1.0,0.007101592353712438,0.0,0.0,0.0,0.0,0.0,0.0,2,2
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,transaction_index_pct,A/B/C,passthrough,832676,9.642063340309892e-08,baixo,8.252804857267204e-05,baixo,baixo,0.5,0.5,0.0,0.5031847133757963,0.5032679738562091,1.0001654670306939,0.006128677627009907,0.006162060633427648,3.3383006417741015e-05,0.0,0.0,0.0,1.0,0.4999999999999944,0.2904620125265425,10,101
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,block_tx_count_log,B/C,robust_scaler_train,832676,0.009234279749011295,baixo,0.04145489977629968,baixo,baixo,0.0,-0.07235363545173021,-0.07235363545173021,1.0,0.9652484784595949,0.9652484784595949,0.006670881384752894,0.010003891069275444,0.0033330096845225502,0.0,0.02488002536400713,-7.791689701091298,4.802763787044083,0.046561367219468554,0.891512919324324,10,101
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,sender_tx_count_block_log,B/C,robust_scaler_train,832676,0.01342445095758075,baixo,0.03249349843731841,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.850543916635783,0.8234235164697914,-0.0271204001659916,0.0008130413269987366,0.17657648353020863,0.0,5.267858159063328,0.19433504019427836,0.5789319410935516,3,8
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,receiver_tx_count_block_log,B/C,robust_scaler_train,832676,0.002677127165115201,baixo,0.018888640608992202,baixo,baixo,0.0,0.0,0.0,1.0,1.1065895113302242,1.1065895113302242,0.5684948784946605,0.5614608803424141,-0.007033998152246368,0.0,0.028499680548016274,0.0,4.6338653958527765,0.5654641515770212,0.8266555784795643,6,27
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,gas_price_rank_block,B/C,passthrough,832676,0.05253277835576911,baixo,0.08090841868496385,baixo,baixo,0.45121951219512196,0.4391891891891892,-0.012030323005932764,0.507182320441989,0.5711428571428572,1.1261095549330844,0.024048184816426187,0.01982403720054379,-0.004224147615882398,0.0,0.0,0.0,1.0,0.44222550380029296,0.31099332795909296,10,99
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,hour_sin,B/C,passthrough,832676,0.0004437169941814025,baixo,0.007957151256981154,baixo,baixo,0.0,0.0,0.0,1.4142135623730954,1.4142135623730954,1.0,0.03954661675443869,0.039258967473543134,-0.00028764928089555775,0.0,0.0,-1.0,1.0,-0.009495511834921384,0.7073926761581061,10,27
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,hour_cos,B/C,passthrough,832676,0.0003799596611888901,baixo,0.005869475914162037,baixo,baixo,-1.8369701987210297e-16,-1.8369701987210297e-16,0.0,1.4142135623730954,1.4142135623730954,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.0202302246008993,0.7064682408533514,10,26
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,weekday_sin,B/C,passthrough,832676,0.0013409025277515097,baixo,0.012853114841343494,baixo,baixo,0.0,0.0,0.0,1.5636629649360598,1.5636629649360598,1.0,0.13526224162791928,0.14276501304228775,0.007502771414368475,0.0,0.0,-0.9749279121818236,0.9749279121818236,0.02605828705405212,0.7115794110196199,10,14
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,weekday_cos,B/C,passthrough,832676,0.001372609445832384,baixo,0.012744974843770629,baixo,baixo,-0.22252093395631434,-0.22252093395631434,0.0,1.5244586697611526,1.5244586697611526,1.0,0.0,0.0,0.0,0.0,0.0,-0.9009688679024191,1.0,0.004544014797630978,0.7021084385810789,8,10
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,gas_limit_log,C,robust_scaler_train,832676,0.027765042025055406,baixo,0.05049038240699921,baixo,baixo,0.0,-0.01702811270159506,-0.01702811270159506,1.0000000000000004,0.9276846396489822,0.9276846396489817,0.00017876218089860697,0.0,-0.00017876218089860697,0.0,0.005024763533475206,-0.5883856225469472,2.4813584064188525,0.016925807037657732,0.5153847648204878,9,73
1,estresse_pre_dencun_2024,historical_stress,2024-01-01,2024-03-12,transaction_fee_paid_log,C,robust_scaler_train,832676,2.578819485258768,alto,0.4019709947206356,alto,alto,0.0,0.670358551052921,0.670358551052921,1.0,0.8630549923242936,0.8630549923242936,0.0,0.0,0.0,0.0,0.03137955219076808,-0.6267693735677513,5.127384510380132,0.7456990278242639,0.6317270319534183,10,101
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,gas_used_log,A/B/C,robust_scaler_train,244311,0.0248167952820808,baixo,0.05473417489108412,baixo,baixo,0.0,-0.004738698101296602,-0.004738698101296602,1.0,0.8593809410396425,0.8593809410396425,3.0831804719446146e-05,9.004915865433811e-05,5.9217353934891966e-05,0.0,0.0014366933948942128,-0.44609446388445456,3.569811904300334,0.03856112928579662,0.49509781012899845,9,71
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,gas_used_ratio,A/B/C,passthrough,244311,0.010779618476731569,baixo,0.0435393608258704,baixo,baixo,0.7280278820756305,0.7624609289582341,0.034433046882603624,0.4706208630699257,0.42609266916566835,0.9053841480511644,0.0,0.0,0.0,0.0,0.0,0.000850561403508772,1.0,0.7144306622882008,0.28638827061107597,9,75
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,effective_gas_price_log,A/B/C,robust_scaler_train,244311,8.462851458064302,alto,0.7343241917418184,alto,alto,0.0,1.0358176086218858,1.0358176086218858,1.0,0.5268271846813772,0.5268271846813772,1.5571618545174823e-06,0.0,-1.5571618545174823e-06,0.0,0.01719529615940338,0.2226458234141791,6.677017160321167,1.074980129719192,0.37456228706457123,10,101
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,max_fee_per_gas_log,A/B/C,conditional_robust_scaler_train,244311,4.894907649475237,alto,0.5320719181345277,alto,alto,0.0,0.7678269998849153,0.7678269998849153,0.7829188343284547,0.65386669280877,0.8351653634308356,0.1574075746581251,0.1519333963677444,-0.005474178290380716,0.0,0.07282521048990835,-0.07897916688307681,5.342730309095562,0.800029479481366,0.5587211237316283,10,84
2,transicao_dencun_2024,protocol_transition,2024-03-13,2024-03-31,max_priority_fee_log,A/B/C,conditional_robust_scaler_train,244311,0.18705720894323408,moderado,0.16361316853812696,moderado,moderado,0.0,0.0,0.0,0.8154796764153621,1.3296298360382808,1.6304880115259155,0.23014571920634574,0.23013290437188666,-1.2814834459085045e-05,0.0,0.08564902931100114,-6.917596103832903,3.3145325274017883,-0.48855332969413034,1.1407805986634758,8,57
