split_order,split,role,matrix,features,psi_mean,psi_max,ks_mean,ks_max,features_drift_alto
1,estresse_pre_dencun_2024,historical_stress,A,13,0.7207306087726892,5.435318564451308,0.1184861874633652,0.6150714852705171,2
1,estresse_pre_dencun_2024,historical_stress,B,21,0.4500430351857805,5.435318564451308,0.08349955292321805,0.6150714852705171,2
1,estresse_pre_dencun_2024,historical_stress,C,23,0.5242386202689223,5.435318564451308,0.0959109560224006,0.6150714852705171,3
2,transicao_dencun_2024,protocol_transition,A,13,1.0548240326449734,8.462851458064302,0.130378275734569,0.7343241917418184,2
2,transicao_dencun_2024,protocol_transition,B,21,0.665275206924833,8.462851458064302,0.09919829454994937,0.7343241917418184,2
2,transicao_dencun_2024,protocol_transition,C,23,0.7873720513473832,8.462851458064302,0.11261536215147924,0.7343241917418184,3
3,treino_2024_pos_dencun,train,A,13,0.0,0.0,0.0,0.0,0
3,treino_2024_pos_dencun,train,B,21,0.0,0.0,0.0,0.0,0
3,treino_2024_pos_dencun,train,C,23,0.0,0.0,0.0,0.0,0
4,validacao_2025_pre_pectra,validation,A,13,0.19117577977620717,1.351857094840667,0.09292571582444506,0.5009798662841813,2
4,validacao_2025_pre_pectra,validation,B,21,0.12193096902017475,1.351857094840667,0.06764187306034566,0.5009798662841813,2
4,validacao_2025_pre_pectra,validation,C,23,0.1492485652767394,1.351857094840667,0.08065057478163454,0.5009798662841813,3
5,transicao_pectra_2025,protocol_transition,A,13,0.23811667221114344,1.766781371664416,0.10234522777305465,0.5499424626444038,2
5,transicao_pectra_2025,protocol_transition,B,21,0.16357666567442478,1.766781371664416,0.08387831103739611,0.5499424626444038,3
5,transicao_pectra_2025,protocol_transition,C,23,0.1943861071995895,1.766781371664416,0.09645911467072224,0.5499424626444038,4
6,teste_final_2025,test,A,13,0.4339738599598855,3.1111083418449312,0.13753847506111552,0.7044488573922693,3
6,teste_final_2025,test,B,21,0.30755797237574645,3.1111083418449312,0.11118215379613046,0.7044488573922693,4
6,teste_final_2025,test,C,23,0.36998801432314876,3.1111083418449312,0.12935844656010084,0.7044488573922693,5
7,estresse_fusaka_2025,future_stress,A,13,0.7793227546430903,5.615047767073094,0.18373751357838997,0.8723540638758016,4
7,estresse_fusaka_2025,future_stress,B,21,0.5528393040855791,5.615047767073094,0.15502508494286968,0.8723540638758016,6
7,estresse_fusaka_2025,future_stress,C,23,0.6766973052736577,5.615047767073094,0.1794194672507712,0.8723540638758016,7
