split_order,split,role,feature,type4_rows,type4_share_split,rows,psi,psi_level,ks_approx,ks_level,drift_level,reference_median,current_median,median_shift,reference_iqr,current_iqr,iqr_ratio,reference_zero_share,current_zero_share,zero_share_delta,outside_training_range_share,outside_training_robust_fence_share,current_min,current_max,current_mean,current_std,psi_bins,ks_grid_points
5,transicao_pectra_2025,protocol_transition,gas_used_log,749,0.0017675140822967772,749,4.637138446993151,alto,0.3900164124859466,alto,alto,0.0,-0.02145214332147331,-0.02145214332147331,1.0,0.3742206219709311,0.3742206219709311,3.0831804719446146e-05,0.0,-3.0831804719446146e-05,0.0,0.00801068090787717,-0.1312904392341081,2.8271826423997237,0.22538302766347051,0.4708962855921277,9,71
5,transicao_pectra_2025,protocol_transition,gas_used_ratio,749,0.0017675140822967772,749,2.4626704076462045,alto,0.5672496350783918,alto,alto,0.7280278820756305,0.3891826086956522,-0.33884527337997833,0.4706208630699257,0.4295589631380874,0.9127495120722321,0.0,0.0,0.0,0.0,0.0,0.0073688,0.9917697246520446,0.36454992752326715,0.23959115861978397,9,75
5,transicao_pectra_2025,protocol_transition,effective_gas_price_log,749,0.0017675140822967772,749,3.566833049491444,alto,0.7545425220008779,alto,alto,0.0,-1.770433974022709,-1.770433974022709,1.0,1.2751355206150594,1.2751355206150594,1.5571618545174823e-06,0.0,-1.5571618545174823e-06,0.2389853137516689,0.3871829105473965,-2.869339017950574,1.572320395153915,-1.7542863373816304,0.7656617954227478,10,101
5,transicao_pectra_2025,protocol_transition,max_fee_per_gas_log,749,0.0017675140822967772,749,5.393589308975911,alto,0.7811992352501628,alto,alto,0.0,-1.6332608976838379,-1.6332608976838379,0.7829188343284547,1.114714789466139,1.4237935538008624,0.1574075746581251,0.0,-0.1574075746581251,0.14018691588785046,0.5340453938584779,-2.629165165636727,1.1581425635814369,-1.5945700371526568,0.6763651630370261,10,84
5,transicao_pectra_2025,protocol_transition,max_priority_fee_log,749,0.0017675140822967772,749,3.037089248938667,alto,0.6154644450614234,alto,alto,0.0,-3.3126023883954714,-3.3126023883954714,0.8154796764153621,6.45483967637971,7.915390000586547,0.23014571920634574,0.00801068090787717,-0.22213503829846856,0.0,0.6862483311081442,-6.917596103832903,1.3376806840634379,-3.447026261116272,2.651672787368942,8,57
5,transicao_pectra_2025,protocol_transition,fee_cap_utilization,749,0.0017675140822967772,749,3.400955332279718,alto,0.39785336361076906,alto,alto,0.7413346315067423,0.838176924994264,0.09684229348752171,0.5218538753991288,0.11820372086626918,0.2265073163936238,0.15740695179338332,0.0,-0.15740695179338332,0.0,0.0,0.1816209671818379,1.0,0.8293271273737133,0.10862137281966142,10,75
5,transicao_pectra_2025,protocol_transition,transaction_value_log,749,0.0017675140822967772,749,4.3610057065243515,alto,0.4734983364126816,alto,alto,0.0,0.0,0.0,1.0,0.0,0.0,0.5198260961640875,0.9933244325767691,0.4734983364126816,0.0,0.0,0.0,0.9557093258907785,0.006195595610704449,0.07563579407797866,6,50
5,transicao_pectra_2025,protocol_transition,nonce_log,749,0.0017675140822967772,749,2.1484995922729775,alto,0.2552295912910004,alto,alto,0.0,0.28059557322670553,0.28059557322670553,1.0,0.4639452831106539,0.4639452831106539,0.0005509238641282852,0.0026702269692923898,0.0021193031051641043,0.0,0.0,-0.6629378572783498,1.118562390973906,0.20505198646189787,0.33125940409050986,10,87
5,transicao_pectra_2025,protocol_transition,receipt_status,749,0.0017675140822967772,749,0.0,baixo,0.0035643085579956484,baixo,baixo,1.0,1.0,0.0,0.0,0.0,,0.01958567037374999,0.01602136181575434,-0.0035643085579956484,0.0,0.01602136181575434,0.0,1.0,0.9839786381842457,0.125641368799285,2,2
5,transicao_pectra_2025,protocol_transition,tx_type_0,749,0.0017675140822967772,749,1.8329676083186568,alto,0.1515713320273936,moderado,alto,0.0,0.0,0.0,0.0,0.0,,0.8484286679726064,1.0,0.1515713320273936,0.0,0.0,0.0,0.0,0.0,0.0,3,2
5,transicao_pectra_2025,protocol_transition,tx_type_1,749,0.0017675140822967772,749,0.05063043504841681,baixo,0.005835619765989675,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.9941643802340103,1.0,0.005835619765989675,0.0,0.0,0.0,0.0,0.0,0.0,2,2
5,transicao_pectra_2025,protocol_transition,tx_type_3,749,0.0017675140822967772,749,0.06301919320167541,baixo,0.007101592353712438,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.9928984076462876,1.0,0.007101592353712438,0.0,0.0,0.0,0.0,0.0,0.0,2,2
5,transicao_pectra_2025,protocol_transition,transaction_index_pct,749,0.0017675140822967772,749,1.2289578119738072,alto,0.46281622355418905,alto,alto,0.5,0.9278350515463918,0.4278350515463918,0.5031847133757963,0.5644257703081232,1.1217069106123458,0.006128677627009907,0.0013351134846461949,-0.004793564142363711,0.0,0.0,0.0,1.0,0.7283979300628217,0.3183439524827495,10,101
5,transicao_pectra_2025,protocol_transition,block_tx_count_log,749,0.0017675140822967772,749,0.11889892146484045,moderado,0.1533227432744506,moderado,moderado,0.0,0.24401734234899194,0.24401734234899194,1.0,1.0715886059590338,1.0715886059590338,0.006670881384752894,0.004005340453938585,-0.0026655409308143085,0.0,0.04539385847797063,-2.3961549953062278,4.399256421237912,0.26012185474499416,0.8977153787772576,10,101
5,transicao_pectra_2025,protocol_transition,sender_tx_count_block_log,749,0.0017675140822967772,749,0.07062839214189064,baixo,0.09620479781068281,baixo,baixo,0.0,0.0,0.0,0.0,0.0,,0.850543916635783,0.7543391188251002,-0.09620479781068281,0.0,0.24566088117489987,0.0,2.0149030205422647,0.19271566493853493,0.4123799443558891,3,8
5,transicao_pectra_2025,protocol_transition,receiver_tx_count_block_log,749,0.0017675140822967772,749,2.361535317559914,alto,0.24952977350222205,alto,alto,0.0,0.0,0.0,1.0,0.3236566839097652,0.3236566839097652,0.5684948784946605,0.6955941255006676,0.12709924700600705,0.0,0.0,0.0,1.2847106379326627,0.1497522099023596,0.2647845113836332,6,27
5,transicao_pectra_2025,protocol_transition,gas_price_rank_block,749,0.0017675140822967772,749,1.9803547046659988,alto,0.5515223440065087,alto,alto,0.45121951219512196,0.0374331550802139,-0.4137863571149081,0.507182320441989,0.36591648153514283,0.7214693154451073,0.024048184816426187,0.03337783711615487,0.009329652299728684,0.0,0.0,0.0,1.0,0.17224701305986317,0.2326219676858986,10,99
5,transicao_pectra_2025,protocol_transition,hour_sin,749,0.0017675140822967772,749,0.022506171326822744,baixo,0.048491309537901595,baixo,baixo,0.0,-0.2588190451025208,-0.2588190451025208,1.4142135623730954,1.4142135623730954,1.0,0.03954661675443869,0.028037383177570093,-0.011509233576868599,0.0,0.0,-1.0,1.0,-0.04723556856047542,0.7337228695314615,10,27
5,transicao_pectra_2025,protocol_transition,hour_cos,749,0.0017675140822967772,749,0.031112262873453495,baixo,0.03738478421185734,baixo,baixo,-1.8369701987210297e-16,-1.8369701987210297e-16,0.0,1.4142135623730954,1.414213562373095,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-0.036081975315959997,0.6778272772882853,10,26
5,transicao_pectra_2025,protocol_transition,weekday_sin,749,0.0017675140822967772,749,0.24759622179151272,moderado,0.11531307437624971,moderado,moderado,0.0,0.0,0.0,1.5636629649360598,1.2157152215855878,0.7774790660436853,0.13526224162791928,0.21228304405874499,0.07702080243082571,0.0,0.0,-0.9749279121818236,0.9749279121818236,0.08804938978515277,0.6668347088527489,10,14
5,transicao_pectra_2025,protocol_transition,weekday_cos,749,0.0017675140822967772,749,0.2501383129209194,alto,0.19147961781368716,moderado,alto,-0.22252093395631434,0.6234898018587334,0.8460107358150477,1.5244586697611526,0.8460107358150482,0.5549581320873713,0.0,0.0,0.0,0.0,0.0,-0.9009688679024191,1.0,0.22640875478725203,0.7053905690935987,8,10
5,transicao_pectra_2025,protocol_transition,gas_limit_log,749,0.0017675140822967772,749,4.460400380261314,alto,0.48457276383044234,alto,alto,0.0,0.28476622913055777,0.28476622913055777,1.0000000000000004,0.8196563023144968,0.8196563023144965,0.00017876218089860697,0.0,-0.00017876218089860697,0.0,0.010680907877169559,-0.25654281584678285,2.1884519858286917,0.6005372685666865,0.5871752784818159,9,73
5,transicao_pectra_2025,protocol_transition,transaction_fee_paid_log,749,0.0017675140822967772,749,1.4538529721184783,alto,0.5082376190570299,alto,alto,0.0,-1.0655355734697765,-1.0655355734697765,1.0,1.2141121854216361,1.2141121854216361,0.0,0.0,0.0,0.0,0.017356475300400534,-2.0540615704248415,1.9561625704500267,-0.9572821966182891,0.7872575094808155,10,101
6,teste_final_2025,test,gas_used_log,13598,0.0048088263429473315,13598,4.37431955142185,alto,0.3900164124859466,alto,alto,0.0,0.613132066611911,0.613132066611911,1.0,0.7728154720526993,0.7728154720526993,3.0831804719446146e-05,0.0,-3.0831804719446146e-05,0.0,0.012207677599647008,-0.1312904392341081,3.52605969967422,0.5305511622373107,0.489845214801476,9,71
6,teste_final_2025,test,gas_used_ratio,13598,0.0048088263429473315,13598,2.427032080187045,alto,0.49180361828834457,alto,alto,0.7280278820756305,0.47198390703200493,-0.2560439750436256,0.4706208630699257,0.41565092078546007,0.883196971069474,0.0,0.0,0.0,0.0,0.0,0.0018715,1.0,0.4015813035499916,0.2393652011962897,9,75
6,teste_final_2025,test,effective_gas_price_log,13598,0.0048088263429473315,13598,4.252929233381077,alto,0.7970711622779711,alto,alto,0.0,-2.73366525151646,-2.73366525151646,1.0,1.7586555657496792,1.7586555657496792,1.5571618545174823e-06,0.0,-1.5571618545174823e-06,0.5511839976467128,0.6673040152963671,-4.922807457472588,2.5098583849775222,-2.5395211576132097,1.083655499644167,10,101
6,teste_final_2025,test,max_fee_per_gas_log,13598,0.0048088263429473315,13598,4.706995974918872,alto,0.8213834976277727,alto,alto,0.0,-2.3802826160824573,-2.3802826160824573,0.7829188343284547,1.3969732345281693,1.7843142523533966,0.1574075746581251,0.0,-0.1574075746581251,0.4936755405206648,0.7548904250625091,-4.357941298061371,2.1376185748871883,-2.2259101676797695,0.8957672517264178,10,84
6,teste_final_2025,test,max_priority_fee_log,13598,0.0048088263429473315,13598,1.2260900766978962,alto,0.49665966841316794,alto,alto,0.0,-0.9999999968288212,-0.9999999968288212,0.8154796764153621,2.9260844507480046,3.588175812805434,0.23014571920634574,0.03213707898220326,-0.1980086402241425,0.0,0.35269892631269306,-6.917596103832903,1.6876238493769251,-1.8669123977465762,2.019225696611939,8,57
