split_order,split,role,rows,features,psi_mean,psi_max,ks_mean,ks_max,features_drift_moderado,features_drift_alto
1,estresse_pre_dencun_2024,historical_stress,832676,23,0.5242386202689223,5.435318564451308,0.0959109560224006,0.6150714852705171,1,3
2,transicao_dencun_2024,protocol_transition,244311,23,0.7873720513473832,8.462851458064302,0.11261536215147924,0.7343241917418184,2,3
3,treino_2024_pos_dencun,train,3210970,23,0.0,0.0,0.0,0.0,0,0
4,validacao_2025_pre_pectra,validation,1442555,23,0.1492485652767394,1.351857094840667,0.08065057478163454,0.5009798662841813,1,3
5,transicao_pectra_2025,protocol_transition,423759,23,0.1943861071995895,1.766781371664416,0.09645911467072224,0.5499424626444038,1,4
6,teste_final_2025,test,2827717,23,0.36998801432314876,3.1111083418449312,0.12935844656010084,0.7044488573922693,2,5
7,estresse_fusaka_2025,future_stress,512462,23,0.6766973052736577,5.615047767073094,0.1794194672507712,0.8723540638758016,2,7
