configuration,epoch,train_loss,internal_validation_loss,improved,learning_rate
a_completa,1,0.5297405190037017,0.4860438261445439,1,0.001
a_completa,2,0.4422907840338825,0.38470862637473974,1,0.001
a_completa,3,0.320496743598983,0.2608714770781362,1,0.001
a_completa,4,0.2254156478865919,0.1974827608733091,1,0.001
a_completa,5,0.1872573813885443,0.17615973246026953,1,0.001
a_completa,6,0.16819268532142054,0.15812093454101322,1,0.001
a_completa,7,0.14949904798884145,0.13858333830985137,1,0.001
a_completa,8,0.12990390113289868,0.12130811646124376,1,0.001
a_completa,9,0.11720123376374517,0.11324741015170206,1,0.001
a_completa,10,0.11052037676042505,0.10663971554574968,1,0.001
a_completa,11,0.10263489324211876,0.09726174545951446,1,0.001
a_completa,12,0.09299758893293751,0.08868829191770845,1,0.001
a_completa,13,0.086273046620009,0.08358152366658649,1,0.001
a_completa,14,0.08195944598343896,0.07989344189681395,1,0.001
a_completa,15,0.07850874942214456,0.0766693632288941,1,0.001
a_completa,16,0.07543142031765718,0.07345054178913776,1,0.001
a_completa,17,0.07110275799005156,0.06745718094994936,1,0.001
a_completa,18,0.06378378989623444,0.059384953862834135,1,0.001
a_completa,19,0.056651882400824465,0.054086570877317906,1,0.001
a_completa,20,0.052990091925350494,0.051653529066406675,1,0.001
a_completa,21,0.051103586181896955,0.05022373596835001,1,0.001
a_completa,22,0.0499254452584554,0.04926013383129699,1,0.001
a_completa,23,0.048941271943652775,0.04809681697146171,1,0.001
a_completa,24,0.04737445735572403,0.04615207627966648,1,0.001
a_completa,25,0.045052938316837515,0.043369998672403515,1,0.001
a_completa,26,0.04187588549481403,0.03994562343057539,1,0.001
a_completa,27,0.038621812258303356,0.03707802693014926,1,0.001
a_completa,28,0.0361575909611663,0.035078268555448586,1,0.001
a_completa,29,0.034588453891922194,0.03390059856147303,1,0.001
a_completa,30,0.03364240840642854,0.03315640928574143,1,0.001
a_completa,31,0.032997510630319325,0.03261679122283822,1,0.001
a_completa,32,0.03253716192863212,0.0322085981058484,1,0.001
a_completa,33,0.03217175536755672,0.03190148366098254,1,0.001
a_completa,34,0.031895119538293645,0.03165575216291749,1,0.001
a_completa,35,0.031667868164978574,0.031466661925429976,1,0.001
a_completa,36,0.03147644840728291,0.03128716682829814,1,0.001
a_completa,37,0.031302011396550644,0.031094601132392177,1,0.001
a_completa,38,0.031107464838531492,0.03087844534487551,1,0.001
a_completa,39,0.030894145940613463,0.030669061328665714,1,0.001
a_completa,40,0.03067500638587333,0.030442553187639443,1,0.001
a_completa,41,0.03047553250217048,0.03025909947987841,1,0.001
a_completa,42,0.030289137548126507,0.03008669145241963,1,0.001
a_completa,43,0.030141085910601672,0.02994417025374973,1,0.001
a_completa,44,0.029997511631001752,0.029838077742333935,1,0.001
a_completa,45,0.029854159787812227,0.029654524406780115,1,0.001
a_completa,46,0.029642622135349267,0.029497458795069972,1,0.001
a_completa,47,0.02947203486380019,0.029297950942090905,1,0.001
a_completa,48,0.029320389251011304,0.02916982609322937,1,0.001
a_completa,49,0.02921313692752698,0.029060957609672325,1,0.001
a_completa,50,0.02911887409200515,0.028989055010609353,1,0.001
a_completa,51,0.02904789381079538,0.02903242967854598,0,0.001
a_completa,52,0.02897859148124581,0.028841737610131188,1,0.001
a_completa,53,0.028897941625834953,0.028771490606900228,1,0.001
a_completa,54,0.028837775567450038,0.02872015343051388,1,0.001
a_completa,55,0.02877756598342637,0.02864718208644215,1,0.001
a_completa,56,0.02873611623914651,0.028582056878062267,1,0.001
a_completa,57,0.028688804216371898,0.028552663434015933,1,0.001
a_completa,58,0.028608763954398396,0.028492853418518153,1,0.001
a_completa,59,0.02856513478455693,0.028443438369138586,1,0.001
a_completa,60,0.02852432763592852,0.028400575625643843,1,0.001
a_completa,61,0.028475487175557247,0.028372095592081596,1,0.001
a_completa,62,0.028446790764447734,0.028326561646382007,1,0.001
a_completa,63,0.028405542824784493,0.02828317810211291,1,0.001
a_completa,64,0.028361754715320348,0.02824281107711005,1,0.001
a_completa,65,0.028332531675005577,0.02823112715892432,1,0.001
a_completa,66,0.028301263774405026,0.028171832966378794,1,0.001
a_completa,67,0.02825718550611691,0.028137670765467585,1,0.001
a_completa,68,0.028218461317325364,0.02810970541561118,1,0.001
a_completa,69,0.028191277172370764,0.02808401572947841,1,0.001
a_completa,70,0.028159988712939257,0.028053685159593347,1,0.001
a_completa,71,0.02813501963674503,0.028055598423458856,0,0.001
a_completa,72,0.028118230071271618,0.028003488138561978,1,0.001
a_completa,73,0.02808684376731452,0.027975487493506753,1,0.001
a_completa,74,0.02806446262582497,0.02794993912385763,1,0.001
a_completa,75,0.028055057457432298,0.027924407222007546,1,0.001
a_completa,76,0.028019051802176783,0.027902532534043643,1,0.001
a_completa,77,0.028001773374424804,0.027882522897242547,1,0.001
a_completa,78,0.027981892251817318,0.027865965037759455,1,0.001
a_completa,79,0.027959732302047863,0.027840827704808297,1,0.001
a_completa,80,0.027935382462851065,0.027828634774495063,1,0.001
a_completa,81,0.027927016894480503,0.027857020735430803,0,0.001
a_completa,82,0.027905637638681015,0.027787467034820223,1,0.001
a_completa,83,0.027891762747319186,0.027802066244776543,0,0.001
a_completa,84,0.027878222701039526,0.027767200312649214,1,0.001
a_completa,85,0.0278481181385756,0.02774713048334217,1,0.001
a_completa,86,0.027830082736310803,0.027755877722115966,0,0.001
a_completa,87,0.027827975908373107,0.027722235846974055,1,0.001
a_completa,88,0.02781192365462415,0.027716181605732287,0,0.001
a_completa,89,0.027787210576011735,0.027703334733178743,1,0.001
a_completa,90,0.02778018934490618,0.027739891049885276,0,0.001
a_completa,91,0.027775225364802078,0.027663516187321036,1,0.001
a_completa,92,0.02774739987236041,0.027645764202940598,1,0.001
a_completa,93,0.027731303544186892,0.027631889144632025,1,0.001
a_completa,94,0.02773312992850865,0.027654187095280686,0,0.001
a_completa,95,0.02772364081056253,0.027608763762819292,1,0.001
a_completa,96,0.02769766894112928,0.027595310053827433,1,0.001
a_completa,97,0.02768606525429924,0.027588087732832972,0,0.001
a_completa,98,0.027712598349303917,0.027627772727479568,0,0.001
a_completa,99,0.02767373456565384,0.027570458574028046,1,0.001
a_completa,100,0.027654754580528164,0.02753805836394957,1,0.001
a_completa,101,0.02763832730784604,0.027553078884066665,0,0.001
a_completa,102,0.027637861029790486,0.027580664184464233,0,0.001
a_completa,103,0.027622523329206547,0.027532021427655033,0,0.001
a_completa,104,0.027620951943901195,0.027499089930226667,1,0.001
a_completa,105,0.02759616182042541,0.027497150353239054,0,0.001
a_completa,106,0.02759048485159238,0.027532264388212917,0,0.001
a_completa,107,0.027591251949851157,0.02747826721263494,1,0.001
a_completa,108,0.02757201551624965,0.02747821454026214,0,0.001
a_completa,109,0.027561131018093578,0.027466718945584667,1,0.001
a_completa,110,0.027554180150207084,0.0274827771344917,0,0.001
a_completa,111,0.02755092818840072,0.027455498148016844,1,0.001
a_completa,112,0.027536707518973833,0.027426954449953772,1,0.001
a_completa,113,0.027518288615514575,0.027438437315911196,0,0.001
a_completa,114,0.02750749604863723,0.027414195928328798,1,0.001
a_completa,115,0.027509995629447156,0.027441221593282487,0,0.001
a_completa,116,0.027495913968433688,0.027397155645387902,1,0.001
a_completa,117,0.02750519204990703,0.027389825163134995,0,0.001
a_completa,118,0.02747217423442658,0.0273999047450108,0,0.001
a_completa,119,0.02747975454544701,0.027380558889096258,1,0.001
a_completa,120,0.027486594707865183,0.027402975709868622,0,0.001
a_completa,121,0.02746841149276865,0.027354353958834638,1,0.001
