split_order,split,role,configuration,matrix,rows,score_min,score_q250,score_median,score_mean,score_q750,score_q950,score_q990,score_q995,score_q999,score_max,score_std
1,estresse_pre_dencun_2024,historical_stress,a_completa,A,832676,5.144775059306994e-05,0.010508286068215966,0.018982774578034878,0.031145136803388596,0.0359770692884922,0.10370291024446487,0.16377758979797363,0.1989540308713913,0.3489875636994802,2.442453622817993,0.03766515478491783
2,transicao_dencun_2024,protocol_transition,a_completa,A,244311,6.773399945814162e-05,0.009835179895162582,0.01779499463737011,0.027300583198666573,0.031210915185511112,0.08829179406166077,0.1457839488983154,0.18198929578065884,0.3078498479723932,1.93244469165802,0.03273334726691246
3,treino_2024_pos_dencun,train,a_completa,A,3210970,2.0036131900269538e-05,0.00820138887502253,0.015792464837431908,0.026034606620669365,0.028950484935194254,0.09176507629454123,0.15106286868453028,0.18636039212345962,0.38158600446581403,5.074019432067871,0.04085632413625717
4,validacao_2025_pre_pectra,validation,a_completa,A,1442555,4.395459473016672e-05,0.008631031028926373,0.016625545918941498,0.028820032253861427,0.031221414916217327,0.10128775238990784,0.1916519451141355,0.25761392295360486,0.5019700056314464,3.9929895401000977,0.04717465117573738
5,transicao_pectra_2025,protocol_transition,a_completa,A,423759,3.432031371630728e-05,0.008119389414787292,0.016084011644124985,0.028902847319841385,0.030667954124510288,0.10352288857102386,0.2167306083440777,0.2623275372385986,0.5849213339090756,4.238356113433838,0.0518423393368721
6,teste_final_2025,test,a_completa,A,2827717,3.1610095902578905e-05,0.010459023527801037,0.020309049636125565,0.04001133516430855,0.038821227848529816,0.13467321693897194,0.3747309207916256,0.43604715287685386,1.038801978588103,5.7568230628967285,0.08427967131137848
7,estresse_fusaka_2025,future_stress,a_completa,A,512462,0.00014904554700478911,0.022825988475233316,0.045089442282915115,0.0915176123380661,0.10643121600151062,0.33686121255159374,0.5989968633651742,0.8980265852808984,2.161167067289321,6.214219570159912,0.16852246224880219
1,estresse_pre_dencun_2024,historical_stress,b_completa,B,832676,0.008714172057807446,0.09513409808278084,0.13424409180879593,0.15099060535430908,0.18258336558938026,0.2877221554517746,0.5054440945386887,0.7376016601920128,1.0398784846067415,2.2064366340637207,0.09658633917570114
2,transicao_dencun_2024,protocol_transition,b_completa,B,244311,0.011589862406253815,0.09791943430900574,0.13798575103282928,0.1457306146621704,0.17932241410017014,0.2655207961797714,0.38303334712982173,0.4621879190206538,0.619698307514191,2.8090457916259766,0.0718081146478653
3,treino_2024_pos_dencun,train,b_completa,B,3210970,0.0091295400634408,0.0804892722517252,0.11269863694906235,0.12317942827939987,0.15064652636647224,0.2294795051217077,0.3518250846862794,0.43722578138112866,0.709512173712249,2.103963613510132,0.06741613149642944
4,validacao_2025_pre_pectra,validation,b_completa,B,1442555,0.008371206931769848,0.10056125372648239,0.14651525020599365,0.16244055330753326,0.2036205753684044,0.31427287757396705,0.4846564918756484,0.5968264746665952,0.9414936066865878,2.631138801574707,0.09532375633716583
5,transicao_pectra_2025,protocol_transition,b_completa,B,423759,0.01043910812586546,0.09522775560617447,0.13653121888637543,0.15197855234146118,0.1867349073290825,0.2927759170532224,0.47744320154189984,0.5913082224130631,1.1541150693893434,1.5869736671447754,0.09320414066314697
6,teste_final_2025,test,b_completa,B,2827717,0.009377370588481426,0.11821896582841873,0.17518366873264313,0.2035374939441681,0.2551996111869812,0.43664710521697814,0.6812797451019286,0.7985636723041522,1.0426698341369627,2.6218905448913574,0.12884050607681274
7,estresse_fusaka_2025,future_stress,b_completa,B,512462,0.012430062517523766,0.20598628744482994,0.3568090498447418,0.37966811656951904,0.5133191347122192,0.7521173804998397,1.0022065687179567,1.0936679625511174,1.3943461663722958,2.381070375442505,0.21330766379833221
