configuration,calibration_split,validation_rows,q990,q995,q999
a_completa,validacao_2025_pre_pectra,1442555,0.19165194034576416,0.2576139271259308,0.5019699931144714
b_completa,validacao_2025_pre_pectra,1442555,0.4846564829349518,0.5968264937400818,0.9414936304092407
c_completa,validacao_2025_pre_pectra,1442555,0.4835306406021118,0.5881096720695496,1.0607364177703857
b_sem_taxas_absolutas,validacao_2025_pre_pectra,1442555,0.3834197223186493,0.5271710753440857,0.9682605862617493
c_sem_taxas_absolutas,validacao_2025_pre_pectra,1442555,0.34628283977508545,0.41499999165534973,0.5898750424385071
