feature,total_rows,null_count,non_finite_count,distinct_count,minimum,maximum,mean,stddev,is_constant
gas_used_log,2827717,0,0,316255,9.952325334619427,17.537412130499135,10.857290000585618,0.9450574653044989,False
gas_used_ratio,2827717,0,0,649864,0.0006401169590643274,1.0,0.6974323815038249,0.28675324177258393,False
effective_gas_price_log,2827717,0,0,872311,17.087558778602645,31.06574854254146,20.662928256934375,1.3006982325553176,False
max_fee_per_gas_log,2827717,0,0,1005297,0.0,30.71013499842161,17.995452218431403,7.978807792392454,False
max_priority_fee_log,2827717,0,0,382662,0.0,30.71013499842161,14.730227381898178,8.138704817363651,False
fee_cap_utilization,2827717,0,0,1049053,0.0,1.0,0.6163671363111097,0.38625548394239373,False
transaction_value_log,2827717,0,0,848429,0.0,53.18260069017726,15.683470299717193,17.96899878446472,False
nonce_log,2827717,0,0,625391,0.0,17.636603383369096,6.433645451951494,4.947589673132362,False
receipt_status,2827717,0,0,2,0,1,0.9852103304538609,0.1207101502515599,False
tx_type_0,2827717,0,0,2,0,1,0.15098186982643597,0.35803126978276995,False
tx_type_1,2827717,0,0,2,0,1,0.006853585418908611,0.08250221932118505,False
tx_type_3,2827717,0,0,2,0,1,0.007565113482006862,0.08664805361412356,False
transaction_index_pct,2827717,0,0,108091,0.0,1.0,0.49999982317890856,0.29001559869364496,False
block_tx_count_log,2827717,0,0,579,0.6931471805599453,7.315883504509785,5.4581766791513555,0.38387067957837234,False
sender_tx_count_block_log,2827717,0,0,114,0.6931471805599453,6.2166061010848646,0.8501401938914985,0.47718174326604645,False
receiver_tx_count_block_log,2827717,0,0,236,0.6931471805599453,7.005789019253503,1.5953345644753891,1.248812034870248,False
gas_price_rank_block,2827717,0,0,68677,0.0,1.0,0.46767419368721164,0.28774858109373247,False
hour_sin,2827717,0,0,21,-1.0,1.0,-0.02852621741319433,0.706200800989895,False
hour_cos,2827717,0,0,22,-1.0,1.0,-0.040425273102296176,0.7062809877609172,False
weekday_sin,2827717,0,0,7,-0.9749279121818236,0.9749279121818236,0.009652712513975375,0.7105997612934357,False
weekday_cos,2827717,0,0,7,-0.9009688679024191,1.0,-0.0251964650158538,0.7030791533862834,False
gas_limit_log,2827717,0,0,354592,9.952325334619427,17.77271623791246,11.374607572122398,1.2551452969479504,False
transaction_fee_paid_log,2827717,0,0,1920512,27.039836457381348,43.2118300691125,31.520191578094295,1.591729427207433,False
